,Originales,Predichos
2017-11-24 23:10:00,-0.3083027211061668,-0.27425677
2017-11-24 23:20:00,-0.4032970221868966,-0.37223414
2017-11-24 23:30:00,-0.5254325525416259,-0.47807288
2017-11-24 23:40:00,-0.6161860353423114,-0.613733
2017-11-24 23:50:00,-0.6899762519141456,-0.7048813
2017-11-25 00:00:00,-0.7917558603133754,-0.7655676
2017-11-25 00:10:00,-0.8672424033702688,-0.8471976
2017-11-25 00:20:00,-0.9613885405193368,-0.92436785
2017-11-25 00:30:00,-1.0182154881057894,-1.0080346
2017-11-25 00:40:00,-1.080131416525683,-1.0536761
2017-11-25 00:50:00,-1.1378065280437977,-1.1156064
2017-11-25 01:00:00,-1.18530367789503,-1.1825222
2017-11-25 01:10:00,-1.2930204296810972,-1.2165059
2017-11-25 01:20:00,-1.3337322735920951,-1.3247584
2017-11-25 01:30:00,-1.3532400316159323,-1.3553928
2017-11-25 01:40:00,-1.345606561744036,-1.3590491
2017-11-25 01:50:00,-1.3498473786458154,-1.359446
2017-11-25 02:00:00,-1.40073718284543,-1.3659787
2017-11-25 02:10:00,-1.449082496628325,-1.4241749
2017-11-25 02:20:00,-1.448234332696663,-1.466782
2017-11-25 02:30:00,-1.482160869289161,-1.4519643
2017-11-25 02:40:00,-1.4838571957742193,-1.4751538
2017-11-25 02:50:00,-1.4745273980389992,-1.4705024
2017-11-25 03:00:00,-1.5008204633813362,-1.468086
2017-11-25 03:10:00,-1.5338988360421726,-1.497409
2017-11-25 03:20:00,-1.532202509557114,-1.5212523
2017-11-25 03:30:00,-1.556799248414392,-1.5062987
2017-11-25 03:40:00,-1.5542547579976715,-1.5293356
2017-11-25 03:50:00,-1.5440767977090546,-1.5205249
2017-11-25 04:00:00,-1.5517102675809509,-1.5127932
2017-11-25 04:10:00,-1.5381396529439515,-1.5264641
2017-11-25 04:20:00,-1.556799248414392,-1.5164138
2017-11-25 04:30:00,-1.5525584315126126,-1.5309922
2017-11-25 04:40:00,-1.548317614610834,-1.5252817
2017-11-25 04:50:00,-1.556799248414392,-1.5217371
2017-11-25 05:00:00,-1.5542547579976715,-1.5204991
2017-11-25 05:10:00,-1.506757608146439,-1.5273274
2017-11-25 05:20:00,-1.466045764235441,-1.4915398
2017-11-25 05:30:00,-1.3574808485177117,-1.4549673
