,Originales,Predichos
2017-11-25 01:00:00,-1.1853037,-1.1818354
2017-11-25 01:10:00,-1.2930205,-1.2501659
2017-11-25 01:20:00,-1.3337322,-1.3314096
2017-11-25 01:30:00,-1.35324,-1.404249
2017-11-25 01:40:00,-1.3456066,-1.4271995
2017-11-25 01:50:00,-1.3498474,-1.4217223
2017-11-25 02:00:00,-1.4007372,-1.4301515
2017-11-25 02:10:00,-1.4490825,-1.4612674
2017-11-25 02:20:00,-1.4482343,-1.5151169
2017-11-25 02:30:00,-1.4821609,-1.523897
2017-11-25 02:40:00,-1.4838572,-1.543331
2017-11-25 02:50:00,-1.4745274,-1.5463722
2017-11-25 03:00:00,-1.5008205,-1.527033
2017-11-25 03:10:00,-1.5338988,-1.546857
2017-11-25 03:20:00,-1.5322025,-1.5670714
2017-11-25 03:30:00,-1.5567993,-1.569093
2017-11-25 03:40:00,-1.5542548,-1.5838693
2017-11-25 03:50:00,-1.5440768,-1.5821108
2017-11-25 04:00:00,-1.5517102,-1.560429
2017-11-25 04:10:00,-1.5381397,-1.5699536
2017-11-25 04:20:00,-1.5567993,-1.5653021
2017-11-25 04:30:00,-1.5525584,-1.5745864
2017-11-25 04:40:00,-1.5483177,-1.5797822
2017-11-25 04:50:00,-1.5567993,-1.5781479
2017-11-25 05:00:00,-1.5542548,-1.5659909
2017-11-25 05:10:00,-1.5067576,-1.5725305
2017-11-25 05:20:00,-1.4660457,-1.547427
2017-11-25 05:30:00,-1.3574809,-1.5224233
2017-11-25 05:40:00,-1.3676589,-1.4313895
2017-11-25 05:50:00,-1.3990408,-1.416622
2017-11-25 06:00:00,-1.4380563,-1.4387395
2017-11-25 06:10:00,-1.4533234,-1.4926777
2017-11-25 06:20:00,-1.493187,-1.5195687
2017-11-25 06:30:00,-1.5746107,-1.5627787
2017-11-25 06:40:00,-1.6992908,-1.6094617
2017-11-25 06:50:00,-1.8451748,-1.6709282
2017-11-25 07:00:00,-1.8129447,-1.7129828
2017-11-25 07:10:00,-1.7612066,-1.7181485
2017-11-25 07:20:00,-1.7230393,-1.690912
2017-11-25 07:30:00,-1.7221911,-1.6632805
2017-11-25 07:40:00,-1.6874164,-1.6502935
2017-11-25 07:50:00,-1.674694,-1.6232169
2017-11-25 08:00:00,-1.571218,-1.5939703
2017-11-25 08:10:00,-1.4796164,-1.5382427
2017-11-25 08:20:00,-1.3422139,-1.4646578
2017-11-25 08:30:00,-1.2412825,-1.3245035
2017-11-25 08:40:00,-1.218382,-1.1759511
2017-11-25 08:50:00,-1.1395029,-1.1443233
2017-11-25 09:00:00,-1.0614718,-1.0942503
2017-11-25 09:10:00,-1.0046449,-1.0172305
2017-11-25 09:20:00,-0.9384881,-0.9566103
2017-11-25 09:30:00,-0.8570644,-0.8899968
2017-11-25 09:40:00,-0.7493477,-0.80076045
2017-11-25 09:50:00,-0.6908244,-0.699929
2017-11-25 10:00:00,-0.65011257,-0.63300043
2017-11-25 10:10:00,-0.61533785,-0.59519786
2017-11-25 10:20:00,-0.56020725,-0.58444595
2017-11-25 10:30:00,-0.5084693,-0.5365779
2017-11-25 10:40:00,-0.4736946,-0.48410055
2017-11-25 10:50:00,-0.48641703,-0.45123005
2017-11-25 11:00:00,-0.42619744,-0.47809565
2017-11-25 11:10:00,-0.3625852,-0.42484176
2017-11-25 11:20:00,-0.3693705,-0.3658441
2017-11-25 11:30:00,-0.3456219,-0.38050026
2017-11-25 11:40:00,-0.2811615,-0.367952
2017-11-25 11:50:00,-0.31763253,-0.3016389
2017-11-25 12:00:00,-0.3227215,-0.3397298
2017-11-25 12:10:00,-0.34307742,-0.34557587
2017-11-25 12:20:00,-0.34477374,-0.3657487
2017-11-25 12:30:00,-0.3320513,-0.3836319
2017-11-25 12:40:00,-0.33629212,-0.36618003
2017-11-25 12:50:00,-0.32865864,-0.36186475
2017-11-25 13:00:00,-0.27013537,-0.3655157
2017-11-25 13:10:00,-0.28709865,-0.30384475
2017-11-25 13:20:00,-0.2574129,-0.30897072
2017-11-25 13:30:00,-0.22857536,-0.28802142
2017-11-25 13:40:00,-0.22857536,-0.2507749
2017-11-25 13:50:00,-0.27946517,-0.25953817
2017-11-25 14:00:00,-0.2506276,-0.31076917
2017-11-25 14:10:00,-0.24214597,-0.2812838
2017-11-25 14:20:00,-0.23960148,-0.27616817
2017-11-25 14:30:00,-0.24129781,-0.2802659
2017-11-25 14:40:00,-0.29049128,-0.2774893
2017-11-25 14:50:00,-0.35410354,-0.32656845
2017-11-25 15:00:00,-0.41262683,-0.38831615
2017-11-25 15:10:00,-0.366826,-0.4347204
2017-11-25 15:20:00,-0.3736113,-0.3981303
2017-11-25 15:30:00,-0.44231254,-0.41785812
2017-11-25 15:40:00,-0.4177158,-0.47852844
2017-11-25 15:50:00,-0.40244886,-0.46217623
2017-11-25 16:00:00,-0.4431607,-0.43836224
2017-11-25 16:10:00,-0.5127101,-0.4784798
2017-11-25 16:20:00,-0.46351662,-0.55048966
2017-11-25 16:30:00,-0.38633376,-0.5141042
2017-11-25 16:40:00,-0.2811615,-0.43090978
2017-11-25 16:50:00,-0.23960148,-0.28108254
2017-11-25 17:00:00,-0.20397863,-0.19937667
2017-11-25 17:10:00,-0.013141857,-0.08940996
2017-11-25 17:20:00,0.37616515,0.302351
2017-11-25 17:30:00,0.64418477,0.77438277
2017-11-25 17:40:00,0.7154305,0.88327
2017-11-25 17:50:00,0.72136766,0.8274613
2017-11-25 18:00:00,0.72306395,0.76048386
2017-11-25 18:10:00,0.7663203,0.71134984
2017-11-25 18:20:00,0.7366346,0.7317204
2017-11-25 18:30:00,0.7374827,0.70395464
2017-11-25 18:40:00,0.7196713,0.7056495
2017-11-25 18:50:00,0.7205195,0.70837575
2017-11-25 19:00:00,0.72815293,0.70272684
2017-11-25 19:10:00,0.72645664,0.6871465
2017-11-25 19:20:00,0.71288604,0.6753075
2017-11-25 19:30:00,0.7061007,0.64160824
2017-11-25 19:40:00,0.6653889,0.63621366
2017-11-25 19:50:00,0.65351456,0.595559
2017-11-25 20:00:00,0.64079213,0.58252704
2017-11-25 20:10:00,0.63061416,0.56763124
2017-11-25 20:20:00,0.6111064,0.56000245
2017-11-25 20:30:00,0.6043211,0.5370027
2017-11-25 20:40:00,0.5746354,0.5337421
2017-11-25 20:50:00,0.51696026,0.5061488
2017-11-25 21:00:00,0.4838819,0.45016375
2017-11-25 21:10:00,0.46691862,0.38137782
2017-11-25 21:20:00,0.42451045,0.37753782
2017-11-25 21:30:00,0.39312842,0.33932444
2017-11-25 21:40:00,0.30237493,0.31366533
2017-11-25 21:50:00,0.29304513,0.22888668
2017-11-25 22:00:00,0.28371534,0.20599617
2017-11-25 22:10:00,0.22264756,0.19777799
2017-11-25 22:20:00,0.16666879,0.14291981
2017-11-25 22:30:00,0.085245095,0.077633604
2017-11-25 22:40:00,0.05640754,0.006620251
2017-11-25 22:50:00,-0.05894268,-0.032191813
