,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.97073007
2017-11-24 23:50:00,-0.6899762519141456,-1.0301962
2017-11-25 00:00:00,-0.7917558603133754,-1.0799124
2017-11-25 00:10:00,-0.8672424033702688,-1.090756
2017-11-25 00:20:00,-0.9613885405193368,-1.1067679
2017-11-25 00:30:00,-1.0182154881057894,-1.1438129
2017-11-25 00:40:00,-1.080131416525683,-1.1642654
2017-11-25 00:50:00,-1.1378065280437977,-1.189366
2017-11-25 01:00:00,-1.18530367789503,-1.2337539
2017-11-25 01:10:00,-1.2930204296810972,-1.2731873
2017-11-25 01:20:00,-1.3337322735920951,-1.303331
2017-11-25 01:30:00,-1.3532400316159323,-1.3363011
2017-11-25 01:40:00,-1.345606561744036,-1.3717407
2017-11-25 01:50:00,-1.3498473786458154,-1.3879883
2017-11-25 02:00:00,-1.40073718284543,-1.4140908
2017-11-25 02:10:00,-1.449082496628325,-1.419628
2017-11-25 02:20:00,-1.448234332696663,-1.4227104
2017-11-25 02:30:00,-1.482160869289161,-1.4204551
2017-11-25 02:40:00,-1.4838571957742193,-1.4205394
2017-11-25 02:50:00,-1.4745273980389992,-1.407582
2017-11-25 03:00:00,-1.5008204633813362,-1.3993477
2017-11-25 03:10:00,-1.5338988360421726,-1.3969357
2017-11-25 03:20:00,-1.532202509557114,-1.3888386
2017-11-25 03:30:00,-1.556799248414392,-1.3886294
2017-11-25 03:40:00,-1.5542547579976715,-1.3811443
2017-11-25 03:50:00,-1.5440767977090546,-1.3547447
2017-11-25 04:00:00,-1.5517102675809509,-1.3496362
2017-11-25 04:10:00,-1.5381396529439515,-1.355402
2017-11-25 04:20:00,-1.556799248414392,-1.4033647
2017-11-25 04:30:00,-1.5525584315126126,-1.444829
2017-11-25 04:40:00,-1.548317614610834,-1.4525957
2017-11-25 04:50:00,-1.556799248414392,-1.4155697
2017-11-25 05:00:00,-1.5542547579976715,-1.3844554
2017-11-25 05:10:00,-1.506757608146439,-1.3772609
2017-11-25 05:20:00,-1.466045764235441,-1.3756429
2017-11-25 05:30:00,-1.3574808485177117,-1.3762861
2017-11-25 05:40:00,-1.3676588101845937,-1.4920132
2017-11-25 05:50:00,-1.3990408549821065,-1.5992602
2017-11-25 06:00:00,-1.438056372408046,-1.6251469
2017-11-25 06:10:00,-1.4533233135301036,-1.6674566
2017-11-25 06:20:00,-1.49318699350944,-1.7056967
2017-11-25 06:30:00,-1.5746106799531705,-1.7249538
2017-11-25 06:40:00,-1.6992906993463546,-1.6952211
2017-11-25 06:50:00,-1.8451748046267,-1.6422753
2017-11-25 07:00:00,-1.8129445958975248,-1.6021132
2017-11-25 07:10:00,-1.761206627766248,-1.5656065
2017-11-25 07:20:00,-1.7230392742719705,-1.5181024
2017-11-25 07:30:00,-1.7221911117185742,-1.463405
2017-11-25 07:40:00,-1.687416412572679,-1.3969731
2017-11-25 07:50:00,-1.6746939604890765,-1.3288027
2017-11-25 08:00:00,-1.5712180256047878,-1.2894173
2017-11-25 08:10:00,-1.4796163788724406,-1.2375354
2017-11-25 08:20:00,-1.3422139073956536,-1.1972433
2017-11-25 08:30:00,-1.2412824629280856,-1.1524806
