,Originales,Predichos
2017-11-25 01:30:00,-1.35324,-1.2706022
2017-11-25 01:40:00,-1.3456066,-1.2983937
2017-11-25 01:50:00,-1.3498474,-1.3263048
2017-11-25 02:00:00,-1.4007372,-1.3523662
2017-11-25 02:10:00,-1.4490825,-1.3799837
2017-11-25 02:20:00,-1.4482343,-1.4132746
2017-11-25 02:30:00,-1.4821609,-1.4415753
2017-11-25 02:40:00,-1.4838572,-1.4671333
2017-11-25 02:50:00,-1.4745274,-1.5025141
2017-11-25 03:00:00,-1.5008205,-1.5340481
2017-11-25 03:10:00,-1.5338988,-1.5613774
2017-11-25 03:20:00,-1.5322025,-1.5750821
2017-11-25 03:30:00,-1.5567993,-1.5849359
2017-11-25 03:40:00,-1.5542548,-1.5812562
2017-11-25 03:50:00,-1.5440768,-1.5636393
2017-11-25 04:00:00,-1.5517102,-1.576747
2017-11-25 04:10:00,-1.5381397,-1.5560933
2017-11-25 04:20:00,-1.5567993,-1.5339193
2017-11-25 04:30:00,-1.5525584,-1.5425009
2017-11-25 04:40:00,-1.5483177,-1.4951776
2017-11-25 04:50:00,-1.5567993,-1.4432975
2017-11-25 05:00:00,-1.5542548,-1.3790517
2017-11-25 05:10:00,-1.5067576,-1.3885993
2017-11-25 05:20:00,-1.4660457,-1.3989598
2017-11-25 05:30:00,-1.3574809,-1.4853456
2017-11-25 05:40:00,-1.3676589,-1.5503441
2017-11-25 05:50:00,-1.3990408,-1.5766251
2017-11-25 06:00:00,-1.4380563,-1.5478644
2017-11-25 06:10:00,-1.4533234,-1.5167356
2017-11-25 06:20:00,-1.493187,-1.4789299
2017-11-25 06:30:00,-1.5746107,-1.4516133
2017-11-25 06:40:00,-1.6992908,-1.4283923
2017-11-25 06:50:00,-1.8451748,-1.4052005
2017-11-25 07:00:00,-1.8129447,-1.3482187
2017-11-25 07:10:00,-1.7612066,-1.3054729
2017-11-25 07:20:00,-1.7230393,-1.2725238
2017-11-25 07:30:00,-1.7221911,-1.2454045
2017-11-25 07:40:00,-1.6874164,-1.2201133
2017-11-25 07:50:00,-1.674694,-1.2010795
2017-11-25 08:00:00,-1.571218,-1.1474199
2017-11-25 08:10:00,-1.4796164,-1.1036987
2017-11-25 08:20:00,-1.3422139,-1.0686473
2017-11-25 08:30:00,-1.2412825,-1.0363073
2017-11-25 08:40:00,-1.218382,-1.010835
2017-11-25 08:50:00,-1.1395029,-0.9881642
2017-11-25 09:00:00,-1.0614718,-0.9381053
2017-11-25 09:10:00,-1.0046449,-0.8961214
2017-11-25 09:20:00,-0.9384881,-0.8550242
2017-11-25 09:30:00,-0.8570644,-0.8120805
2017-11-25 09:40:00,-0.7493477,-0.7934811
2017-11-25 09:50:00,-0.6908244,-0.78005683
2017-11-25 10:00:00,-0.65011257,-0.7134515
2017-11-25 10:10:00,-0.61533785,-0.6291318
2017-11-25 10:20:00,-0.56020725,-0.5768882
2017-11-25 10:30:00,-0.5084693,-0.57076275
2017-11-25 10:40:00,-0.4736946,-0.5706755
2017-11-25 10:50:00,-0.48641703,-0.5491077
2017-11-25 11:00:00,-0.42619744,-0.47750196
2017-11-25 11:10:00,-0.3625852,-0.41543335
2017-11-25 11:20:00,-0.3693705,-0.37745118
2017-11-25 11:30:00,-0.3456219,-0.36497986
2017-11-25 11:40:00,-0.2811615,-0.3465159
2017-11-25 11:50:00,-0.31763253,-0.32684192
2017-11-25 12:00:00,-0.3227215,-0.2875879
2017-11-25 12:10:00,-0.34307742,-0.2738234
2017-11-25 12:20:00,-0.34477374,-0.25707802
2017-11-25 12:30:00,-0.3320513,-0.2520477
2017-11-25 12:40:00,-0.33629212,-0.2559797
2017-11-25 12:50:00,-0.32865864,-0.26470834
2017-11-25 13:00:00,-0.27013537,-0.24569234
2017-11-25 13:10:00,-0.28709865,-0.23409984
2017-11-25 13:20:00,-0.2574129,-0.22270572
2017-11-25 13:30:00,-0.22857536,-0.21721667
2017-11-25 13:40:00,-0.22857536,-0.21023095
2017-11-25 13:50:00,-0.27946517,-0.21520609
2017-11-25 14:00:00,-0.2506276,-0.23708403
2017-11-25 14:10:00,-0.24214597,-0.2534154
2017-11-25 14:20:00,-0.23960148,-0.26410788
2017-11-25 14:30:00,-0.24129781,-0.28182
2017-11-25 14:40:00,-0.29049128,-0.3085147
2017-11-25 14:50:00,-0.35410354,-0.339562
2017-11-25 15:00:00,-0.41262683,-0.33797956
2017-11-25 15:10:00,-0.366826,-0.33413684
2017-11-25 15:20:00,-0.3736113,-0.33560085
2017-11-25 15:30:00,-0.44231254,-0.34800255
2017-11-25 15:40:00,-0.4177158,-0.34900373
2017-11-25 15:50:00,-0.40244886,-0.3458647
2017-11-25 16:00:00,-0.4431607,-0.3348838
2017-11-25 16:10:00,-0.5127101,-0.32593894
2017-11-25 16:20:00,-0.46351662,-0.29165226
2017-11-25 16:30:00,-0.38633376,-0.2442674
2017-11-25 16:40:00,-0.2811615,-0.22129518
2017-11-25 16:50:00,-0.23960148,-0.19584131
2017-11-25 17:00:00,-0.20397863,-0.08720243
2017-11-25 17:10:00,-0.013141857,0.047384143
2017-11-25 17:20:00,0.37616515,0.19254482
2017-11-25 17:30:00,0.64418477,0.35733736
2017-11-25 17:40:00,0.7154305,0.44808352
2017-11-25 17:50:00,0.72136766,0.52829385
2017-11-25 18:00:00,0.72306395,0.65309584
2017-11-25 18:10:00,0.7663203,0.7447318
2017-11-25 18:20:00,0.7366346,0.8290309
2017-11-25 18:30:00,0.7374827,0.89671326
2017-11-25 18:40:00,0.7196713,0.930092
2017-11-25 18:50:00,0.7205195,0.9562218
2017-11-25 19:00:00,0.72815293,0.97578
2017-11-25 19:10:00,0.72645664,0.98563886
2017-11-25 19:20:00,0.71288604,0.98836064
2017-11-25 19:30:00,0.7061007,0.9671831
2017-11-25 19:40:00,0.6653889,0.9421544
2017-11-25 19:50:00,0.65351456,0.9287988
2017-11-25 20:00:00,0.64079213,0.8937478
2017-11-25 20:10:00,0.63061416,0.8346349
2017-11-25 20:20:00,0.6111064,0.7776948
2017-11-25 20:30:00,0.6043211,0.7216723
2017-11-25 20:40:00,0.5746354,0.689402
2017-11-25 20:50:00,0.51696026,0.6433407
2017-11-25 21:00:00,0.4838819,0.5956141
2017-11-25 21:10:00,0.46691862,0.5493107
2017-11-25 21:20:00,0.42451045,0.47076583
2017-11-25 21:30:00,0.39312842,0.35983062
2017-11-25 21:40:00,0.30237493,0.29426718
2017-11-25 21:50:00,0.29304513,0.2475704
2017-11-25 22:00:00,0.28371534,0.22536898
2017-11-25 22:10:00,0.22264756,0.18042922
2017-11-25 22:20:00,0.16666879,0.069268346
2017-11-25 22:30:00,0.085245095,-0.07728124
2017-11-25 22:40:00,0.05640754,-0.15850699
2017-11-25 22:50:00,-0.05894268,-0.20262575
2017-11-25 23:00:00,-0.15308882,-0.29369336
2017-11-25 23:10:00,-0.2599574,-0.49291283
2017-11-25 23:20:00,-0.34053293,-0.6588061
2017-11-25 23:30:00,-0.48896152,-0.7777586
2017-11-25 23:40:00,-0.56868887,-0.87018275
2017-11-25 23:50:00,-0.65011257,-0.94973123
2017-11-26 00:00:00,-0.74171424,-1.0201731
2017-11-26 00:10:00,-0.8570644,-1.0857873
2017-11-26 00:20:00,-0.94103265,-1.1412985
2017-11-26 00:30:00,-1.0368751,-1.1756414
2017-11-26 00:40:00,-1.0580791,-1.1975906
2017-11-26 00:50:00,-1.1182988,-1.2213919
2017-11-26 01:00:00,-1.1411992,-1.1903822
2017-11-26 01:10:00,-1.181911,-1.2231224
2017-11-26 01:20:00,-1.1793666,-1.2404957
2017-11-26 01:30:00,-1.2277118,-1.2666359
2017-11-26 01:40:00,-1.3091356,-1.3093369
2017-11-26 01:50:00,-1.3625698,-1.3278849
2017-11-26 02:00:00,-1.389711,-1.3313483
2017-11-26 02:10:00,-1.4075224,-1.3508413
2017-11-26 02:20:00,-1.4389045,-1.3741288
2017-11-26 02:30:00,-1.4643494,-1.4029037
2017-11-26 02:40:00,-1.4592605,-1.4154265
2017-11-26 02:50:00,-1.4677421,-1.4534099
2017-11-26 03:00:00,-1.4745274,-1.5019338
2017-11-26 03:10:00,-1.4736792,-1.5430983
2017-11-26 03:20:00,-1.4991242,-1.5653119
2017-11-26 03:30:00,-1.5042131,-1.5948262
2017-11-26 03:40:00,-1.5126947,-1.6150588
2017-11-26 03:50:00,-1.5517102,-1.6141927
2017-11-26 04:00:00,-1.5559511,-1.6250012
2017-11-26 04:10:00,-1.5500139,-1.6198041
2017-11-26 04:20:00,-1.5491657,-1.5996733
2017-11-26 04:30:00,-1.5457731,-1.6084017
2017-11-26 04:40:00,-1.5542548,-1.5527548
2017-11-26 04:50:00,-1.5593437,-1.4971776
2017-11-26 05:00:00,-1.5355952,-1.426506
2017-11-26 05:10:00,-1.5177838,-1.425435
2017-11-26 05:20:00,-1.5186319,-1.4173559
2017-11-26 05:30:00,-1.4024335,-1.5003833
2017-11-26 05:40:00,-1.4058262,-1.573778
2017-11-26 05:50:00,-1.4397527,-1.6122128
2017-11-26 06:00:00,-1.4940351,-1.5813005
2017-11-26 06:10:00,-1.4821609,-1.551845
2017-11-26 06:20:00,-1.5016686,-1.5288529
2017-11-26 06:30:00,-1.6102335,-1.5146973
2017-11-26 06:40:00,-1.7908924,-1.486986
2017-11-26 06:50:00,-1.9070908,-1.4618287
2017-11-26 07:00:00,-1.9469544,-1.4180983
2017-11-26 07:10:00,-1.9384727,-1.3818004
2017-11-26 07:20:00,-1.924054,-1.3424093
2017-11-26 07:30:00,-1.8655307,-1.3073305
2017-11-26 07:40:00,-1.8324523,-1.286978
2017-11-26 07:50:00,-1.815489,-1.2704083
2017-11-26 08:00:00,-1.7510287,-1.2233559
2017-11-26 08:10:00,-1.7094686,-1.1822064
2017-11-26 08:20:00,-1.6984426,-1.1383458
2017-11-26 08:30:00,-1.633134,-1.1068916
2017-11-26 08:40:00,-1.5389879,-1.0835764
2017-11-26 08:50:00,-1.4431454,-1.0542974
2017-11-26 09:00:00,-1.3914074,-0.98799527
2017-11-26 09:10:00,-1.3099837,-0.94211185
2017-11-26 09:20:00,-1.2514604,-0.9112258
2017-11-26 09:30:00,-1.1691886,-0.8758251
2017-11-26 09:40:00,-1.057231,-0.8444725
2017-11-26 09:50:00,-1.0182155,-0.82035714
2017-11-26 10:00:00,-0.95036244,-0.75755566
2017-11-26 10:10:00,-0.8630016,-0.66726863
2017-11-26 10:20:00,-0.7934522,-0.5940704
2017-11-26 10:30:00,-0.78242606,-0.58097625
2017-11-26 10:40:00,-0.6908244,-0.59088075
2017-11-26 10:50:00,-0.6255158,-0.5691546
2017-11-26 11:00:00,-0.6289085,-0.49682203
2017-11-26 11:10:00,-0.5610554,-0.44263878
2017-11-26 11:20:00,-0.49574682,-0.42004862
2017-11-26 11:30:00,-0.50168395,-0.39869863
2017-11-26 11:40:00,-0.5118619,-0.37466824
2017-11-26 11:50:00,-0.4940505,-0.35851663
2017-11-26 12:00:00,-0.4762391,-0.33013475
2017-11-26 12:10:00,-0.4592758,-0.30861357
2017-11-26 12:20:00,-0.44485703,-0.29048154
2017-11-26 12:30:00,-0.42450112,-0.27800843
2017-11-26 12:40:00,-0.3642815,-0.2676051
2017-11-26 12:50:00,-0.29049128,-0.2580018
2017-11-26 13:00:00,-0.25910923,-0.2363717
2017-11-26 13:10:00,-0.30575824,-0.22395736
2017-11-26 13:20:00,-0.32696232,-0.21242878
2017-11-26 13:30:00,-0.29303578,-0.21137321
2017-11-26 13:40:00,-0.28370598,-0.22697839
2017-11-26 13:50:00,-0.32017702,-0.25195843
2017-11-26 14:00:00,-0.25826108,-0.25215846
2017-11-26 14:10:00,-0.27776885,-0.25099206
2017-11-26 14:20:00,-0.36088884,-0.25572777
2017-11-26 14:30:00,-0.38887826,-0.2761153
2017-11-26 14:40:00,-0.40414518,-0.30083358
2017-11-26 14:50:00,-0.4592758,-0.31359845
2017-11-26 15:00:00,-0.49320233,-0.30136597
2017-11-26 15:10:00,-0.49489868,-0.30107927
2017-11-26 15:20:00,-0.5211917,-0.2962486
2017-11-26 15:30:00,-0.5763224,-0.29371607
2017-11-26 15:40:00,-0.5805632,-0.30464846
2017-11-26 15:50:00,-0.5254325,-0.31867754
2017-11-26 16:00:00,-0.5177991,-0.29316193
2017-11-26 16:10:00,-0.5356105,-0.2613994
2017-11-26 16:20:00,-0.5890448,-0.23553675
2017-11-26 16:30:00,-0.5669926,-0.20071542
2017-11-26 16:40:00,-0.4898097,-0.17274624
2017-11-26 16:50:00,-0.42110845,-0.14938748
2017-11-26 17:00:00,-0.29897293,-0.0720737
2017-11-26 17:10:00,-0.10983249,0.033371568
2017-11-26 17:20:00,0.32951614,0.17750156
2017-11-26 17:30:00,0.57293904,0.35907674
2017-11-26 17:40:00,0.67980766,0.45746863
2017-11-26 17:50:00,0.7332419,0.5332173
2017-11-26 18:00:00,0.77225745,0.64890254
2017-11-26 18:10:00,0.7603832,0.74507594
2017-11-26 18:20:00,0.77649826,0.82657886
2017-11-26 18:30:00,0.7476607,0.89228094
2017-11-26 18:40:00,0.7205195,0.9290217
2017-11-26 18:50:00,0.72815293,0.9544178
2017-11-26 19:00:00,0.7739538,0.9663924
2017-11-26 19:10:00,0.7824354,0.9672487
2017-11-26 19:20:00,0.76716846,0.97348833
2017-11-26 19:30:00,0.7739538,0.9581225
2017-11-26 19:40:00,0.79091704,0.9294889
2017-11-26 19:50:00,0.79346156,0.9048226
2017-11-26 20:00:00,0.7637758,0.87021255
2017-11-26 20:10:00,0.7383309,0.81892097
2017-11-26 20:20:00,0.69422644,0.7628194
2017-11-26 20:30:00,0.6645407,0.70206237
2017-11-26 20:40:00,0.6484256,0.67176914
2017-11-26 20:50:00,0.59838396,0.6344048
2017-11-26 21:00:00,0.5339235,0.5810666
2017-11-26 21:10:00,0.4932117,0.53058624
2017-11-26 21:20:00,0.46691862,0.4788996
2017-11-26 21:30:00,0.41178802,0.3919841
2017-11-26 21:40:00,0.36937985,0.32161832
2017-11-26 21:50:00,0.33206064,0.26745033
2017-11-26 22:00:00,0.26675206,0.24085665
2017-11-26 22:10:00,0.21671042,0.18636537
2017-11-26 22:20:00,0.14207205,0.086069584
2017-11-26 22:30:00,0.019936515,-0.06152785
2017-11-26 22:40:00,-0.08099493,-0.15150738
2017-11-26 22:50:00,-0.1742929,-0.20551288
2017-11-26 23:00:00,-0.26335007,-0.2637406
2017-11-26 23:10:00,-0.34986272,-0.4235807
2017-11-26 23:20:00,-0.44061622,-0.5861096
2017-11-26 23:30:00,-0.548333,-0.7199058
2017-11-26 23:40:00,-0.6797983,-0.8086252
2017-11-26 23:50:00,-0.75952566,-0.8815445
2017-11-27 00:00:00,-0.8350122,-0.9561172
2017-11-27 00:10:00,-0.89183915,-1.0385104
2017-11-27 00:20:00,-0.92915833,-1.1068381
2017-11-27 00:30:00,-1.0300897,-1.1532326
2017-11-27 00:40:00,-1.0614718,-1.1850802
2017-11-27 00:50:00,-1.1149061,-1.2140964
2017-11-27 01:00:00,-1.1759739,-1.2405704
2017-11-27 01:10:00,-1.217534,-1.2701641
2017-11-27 01:20:00,-1.2251674,-1.2989379
2017-11-27 01:30:00,-1.2557012,-1.3281312
2017-11-27 01:40:00,-1.2709682,-1.3528736
2017-11-27 01:50:00,-1.3125281,-1.3662927
2017-11-27 02:00:00,-1.3405176,-1.3808024
2017-11-27 02:10:00,-1.3922555,-1.4020432
2017-11-27 02:20:00,-1.4329674,-1.4319907
2017-11-27 02:30:00,-1.456716,-1.4761186
2017-11-27 02:40:00,-1.4711348,-1.517027
2017-11-27 02:50:00,-1.4872499,-1.5611752
2017-11-27 03:00:00,-1.5050613,-1.6012957
2017-11-27 03:10:00,-1.5322025,-1.6367425
2017-11-27 03:20:00,-1.5737625,-1.661742
2017-11-27 03:30:00,-1.5881813,-1.677264
2017-11-27 03:40:00,-1.5567993,-1.6833022
2017-11-27 03:50:00,-1.5517102,-1.6759282
2017-11-27 04:00:00,-1.555103,-1.691497
2017-11-27 04:10:00,-1.5440768,-1.6765363
2017-11-27 04:20:00,-1.5432286,-1.6418276
2017-11-27 04:30:00,-1.5254172,-1.6390371
2017-11-27 04:40:00,-1.4965796,-1.5898573
2017-11-27 04:50:00,-1.4855535,-1.5284305
2017-11-27 05:00:00,-1.4601086,-1.4506007
2017-11-27 05:10:00,-1.4592605,-1.4463141
2017-11-27 05:20:00,-1.4312711,-1.447458
2017-11-27 05:30:00,-1.3311877,-1.5242263
2017-11-27 05:40:00,-1.3260988,-1.5880136
2017-11-27 05:50:00,-1.3820776,-1.6238017
2017-11-27 06:00:00,-1.373596,-1.5955204
2017-11-27 06:10:00,-1.3651143,-1.5705954
2017-11-27 06:20:00,-1.3846221,-1.5472047
2017-11-27 06:30:00,-1.4185486,-1.529417
2017-11-27 06:40:00,-1.5101503,-1.503518
2017-11-27 06:50:00,-1.5703698,-1.47937
2017-11-27 07:00:00,-1.4787682,-1.4358404
2017-11-27 07:10:00,-1.4177004,-1.3999754
2017-11-27 07:20:00,-1.3744441,-1.3633157
2017-11-27 07:30:00,-1.3176172,-1.3362311
2017-11-27 07:40:00,-1.2726645,-1.3070393
2017-11-27 07:50:00,-1.2667273,-1.2817252
2017-11-27 08:00:00,-1.2031151,-1.231667
2017-11-27 08:10:00,-1.0835241,-1.1867579
2017-11-27 08:20:00,-0.9800481,-1.1396025
2017-11-27 08:30:00,-1.0758905,-1.0978101
2017-11-27 08:40:00,-0.875724,-1.0712218
2017-11-27 08:50:00,-0.83840483,-1.0434124
2017-11-27 09:00:00,-0.74171424,-0.97448856
2017-11-27 09:10:00,-0.89183915,-0.92846096
2017-11-27 09:20:00,-1.2209265,-0.8870429
2017-11-27 09:30:00,-1.2107486,-0.84634626
2017-11-27 09:40:00,-1.1683404,-0.81638336
2017-11-27 09:50:00,-1.0903094,-0.7983687
2017-11-27 10:00:00,-1.0504457,-0.7231437
2017-11-27 10:10:00,-0.927462,-0.62497747
2017-11-27 10:20:00,-0.82737875,-0.5542872
2017-11-27 10:30:00,-0.7764889,-0.5470097
