,Originales,Predichos
2014-12-02 04:40:00,1.2942044,-0.11416143
2014-12-02 04:50:00,1.2832322,-0.20238088
2014-12-02 05:00:00,1.0528165,-0.11486311
2014-12-02 05:10:00,0.87726176,-0.3401864
2014-12-02 05:20:00,0.62490183,-0.3395694
2014-12-02 05:30:00,0.58101314,-0.47758144
2014-12-02 05:40:00,0.58101314,0.0020112507
2014-12-02 05:50:00,0.5480966,-0.12344542
2014-12-02 06:00:00,0.635874,-0.6185132
2014-12-02 06:10:00,0.7455957,-0.3638112
2014-12-02 06:20:00,0.73462355,-0.36389852
2014-12-02 06:30:00,0.9211505,-0.12147646
2014-12-02 06:40:00,1.0308722,-0.12216267
2014-12-02 06:50:00,0.88823396,0.003186386
2014-12-02 07:00:00,0.58101314,1.1855311
2014-12-02 07:10:00,0.4274027,0.9116076
2014-12-02 07:20:00,0.36156967,1.3151995
2014-12-02 07:30:00,0.32865316,1.315772
2014-12-02 07:40:00,0.17504275,1.3161753
2014-12-02 07:50:00,0.1530984,0.9718856
2014-12-02 08:00:00,-0.011484189,0.57452536
2014-12-02 08:10:00,-0.06634505,0.6185145
2014-12-02 08:20:00,-0.17606677,0.42771998
2014-12-02 08:30:00,-0.21995547,0.6870197
2014-12-02 08:40:00,-0.21995547,0.19757684
2014-12-02 08:50:00,-0.13217808,0.41293654
2014-12-02 09:00:00,0.0324045,0.3541979
2014-12-02 09:10:00,0.3505975,0.35359412
2014-12-02 09:20:00,0.5590688,0.16919853
2014-12-02 09:30:00,0.7126792,-0.22049955
2014-12-02 09:40:00,0.8992061,-0.07323402
2014-12-02 09:50:00,0.9979557,0.09491958
2014-12-02 10:00:00,1.0199001,0.094962835
2014-12-02 10:10:00,1.0089278,0.09481935
2014-12-02 10:20:00,0.97601134,0.0006689392
2014-12-02 10:30:00,0.9650392,-0.08020079
2014-12-02 10:40:00,1.3490652,0.060997274
2014-12-02 10:50:00,1.5246199,0.13640086
2014-12-02 11:00:00,1.4807312,0.59645027
2014-12-02 11:10:00,1.0528165,-0.093171194
2014-12-02 11:20:00,0.87726176,0.4090822
2014-12-02 11:30:00,1.0089278,0.8306561
2014-12-02 11:40:00,0.954067,0.40998995
2014-12-02 11:50:00,0.701707,0.7647974
2014-12-02 12:00:00,0.6139296,0.645672
2014-12-02 12:10:00,0.69073486,0.2872139
2014-12-02 12:20:00,0.48226357,-0.35644776
2014-12-02 12:30:00,0.40545836,-0.35595387
2014-12-02 12:40:00,0.33962533,-0.39966148
2014-12-02 12:50:00,0.16407058,-0.40000793
2014-12-02 13:00:00,-0.35162154,-0.49442634
2014-12-02 13:10:00,-0.8124528,-0.3499106
2014-12-02 13:20:00,-0.9221745,-0.6513968
2014-12-02 13:30:00,-0.93314666,0.05676538
2014-12-02 13:40:00,-0.98800755,0.2698452
2014-12-02 13:50:00,-0.955091,0.2687643
2014-12-02 14:00:00,-0.97703534,-0.07492055
2014-12-02 14:10:00,-1.009952,-0.07472171
2014-12-02 14:20:00,-0.98800755,0.5640237
2014-12-02 14:30:00,-0.9221745,0.5469635
2014-12-02 14:40:00,-0.5600928,0.3147474
2014-12-02 14:50:00,-0.6039815,0.2509983
2014-12-02 15:00:00,-0.63689804,0.60855883
2014-12-02 15:10:00,-0.49425977,0.6082054
2014-12-02 15:20:00,-0.5162041,-0.36226892
2014-12-02 15:30:00,-0.1650946,-0.3621967
2014-12-02 15:40:00,-0.6917589,-0.18689321
2014-12-02 15:50:00,-0.88925797,0.2682177
2014-12-02 16:00:00,-0.8673136,0.2680535
2014-12-02 16:10:00,-0.9221745,0.12348579
2014-12-02 16:20:00,-0.9112023,-0.29555663
2014-12-02 16:30:00,-0.9112023,-0.20533952
2014-12-02 16:40:00,-0.9221745,-0.11922091
2014-12-02 16:50:00,-0.97703534,-0.05210318
