,Originales,Predichos
2017-11-24 23:10:00,-0.3083027211061668,-0.22903426
2017-11-24 23:20:00,-0.40329702218689667,-0.3297503
2017-11-24 23:30:00,-0.5254325525416259,-0.43747815
2017-11-24 23:40:00,-0.6161860353423114,-0.5781327
2017-11-24 23:50:00,-0.6899762519141456,-0.6659534
2017-11-25 00:00:00,-0.7917558603133754,-0.72341007
2017-11-25 00:10:00,-0.8672424033702688,-0.82339233
2017-11-25 00:20:00,-0.9613885405193368,-0.8944792
2017-11-25 00:30:00,-1.0182154881057894,-1.0076166
2017-11-25 00:40:00,-1.080131416525683,-1.0319166
2017-11-25 00:50:00,-1.1378065280437977,-1.0850327
2017-11-25 01:00:00,-1.1853036778950299,-1.1774848
2017-11-25 01:10:00,-1.2930204296810972,-1.1959254
2017-11-25 01:20:00,-1.3337322735920953,-1.3262322
2017-11-25 01:30:00,-1.3532400316159323,-1.3382535
2017-11-25 01:40:00,-1.345606561744036,-1.3551722
2017-11-25 01:50:00,-1.3498473786458154,-1.3529661
2017-11-25 02:00:00,-1.40073718284543,-1.3659822
2017-11-25 02:10:00,-1.4490824966283247,-1.4263337
2017-11-25 02:20:00,-1.448234332696663,-1.4634876
2017-11-25 02:30:00,-1.482160869289161,-1.4445055
2017-11-25 02:40:00,-1.4838571957742193,-1.4849863
2017-11-25 02:50:00,-1.4745273980389992,-1.4775374
2017-11-25 03:00:00,-1.5008204633813362,-1.4741106
2017-11-25 03:10:00,-1.5338988360421726,-1.5054885
2017-11-25 03:20:00,-1.532202509557114,-1.5259936
2017-11-25 03:30:00,-1.556799248414392,-1.5102019
2017-11-25 03:40:00,-1.5542547579976715,-1.5550132
2017-11-25 03:50:00,-1.5440767977090546,-1.5349449
2017-11-25 04:00:00,-1.5517102675809509,-1.5190072
2017-11-25 04:10:00,-1.5381396529439515,-1.536591
2017-11-25 04:20:00,-1.556799248414392,-1.5136079
2017-11-25 04:30:00,-1.5525584315126126,-1.5393828
2017-11-25 04:40:00,-1.548317614610834,-1.532877
2017-11-25 04:50:00,-1.556799248414392,-1.525104
2017-11-25 05:00:00,-1.5542547579976715,-1.5181056
2017-11-25 05:10:00,-1.5067576081464393,-1.5112431
2017-11-25 05:20:00,-1.466045764235441,-1.4700938
2017-11-25 05:30:00,-1.3574808485177117,-1.4336412
2017-11-25 05:40:00,-1.3676588101845937,-1.2762244
2017-11-25 05:50:00,-1.3990408549821063,-1.3593546
2017-11-25 06:00:00,-1.438056372408046,-1.3854922
2017-11-25 06:10:00,-1.4533233135301036,-1.433267
2017-11-25 06:20:00,-1.49318699350944,-1.4358827
2017-11-25 06:30:00,-1.5746106799531703,-1.5018225
2017-11-25 06:40:00,-1.6992906993463546,-1.5997612
2017-11-25 06:50:00,-1.8451748046266996,-1.7596719
2017-11-25 07:00:00,-1.8129445958975252,-1.897254
2017-11-25 07:10:00,-1.7612066277662481,-1.8201813
2017-11-25 07:20:00,-1.7230392742719705,-1.74872
2017-11-25 07:30:00,-1.7221911117185742,-1.6877664
2017-11-25 07:40:00,-1.687416412572679,-1.7039826
2017-11-25 07:50:00,-1.6746939604890765,-1.6687796
2017-11-25 08:00:00,-1.5712180256047878,-1.6636035
2017-11-25 08:10:00,-1.4796163788724406,-1.4884849
2017-11-25 08:20:00,-1.3422139073956536,-1.4034079
2017-11-25 08:30:00,-1.2412824629280856,-1.2610811
2017-11-25 08:40:00,-1.2183820505558662,-1.164654
2017-11-25 08:50:00,-1.1395028545288564,-1.1634576
2017-11-25 09:00:00,-1.0614718210552423,-1.0652705
2017-11-25 09:10:00,-1.00464487346879,-0.9745743
2017-11-25 09:20:00,-0.9384881281471172,-0.9342706
2017-11-25 09:30:00,-0.8570644417033864,-0.84453326
2017-11-25 09:40:00,-0.7493476899173189,-0.7940875
2017-11-25 09:50:00,-0.6908244158458079,-0.68195003
2017-11-25 10:00:00,-0.6501125719348096,-0.61442065
2017-11-25 10:10:00,-0.6153378727889145,-0.58872575
2017-11-25 10:20:00,-0.5602072516875205,-0.5695623
2017-11-25 10:30:00,-0.508469283556244,-0.5008217
2017-11-25 10:40:00,-0.47369458441034884,-0.45823956
2017-11-25 10:50:00,-0.4864170351156864,-0.41098493
2017-11-25 11:00:00,-0.4261974345591167,-0.4507054
2017-11-25 11:10:00,-0.362585178275899,-0.3630289
2017-11-25 11:20:00,-0.36937048559439845,-0.3204707
2017-11-25 11:30:00,-0.34562191066878256,-0.3191588
2017-11-25 11:40:00,-0.281161491832168,-0.31126547
2017-11-25 11:50:00,-0.3176325188413869,-0.21408658
2017-11-25 12:00:00,-0.3227214982965626,-0.30772752
2017-11-25 12:10:00,-0.34307742025206195,-0.29614756
2017-11-25 12:20:00,-0.3447737467371202,-0.3111867
2017-11-25 12:30:00,-0.3320512960317832,-0.3077663
2017-11-25 12:40:00,-0.33629211293356204,-0.27074033
2017-11-25 12:50:00,-0.3286586430616657,-0.30145773
2017-11-25 13:00:00,-0.2701353676118892,-0.31058013
2017-11-25 13:10:00,-0.2870986365972711,-0.24491756
2017-11-25 13:20:00,-0.25741291690655216,-0.26843816
2017-11-25 13:30:00,-0.2285753611474946,-0.20852323
2017-11-25 13:40:00,-0.2285753611474946,-0.19853742
2017-11-25 13:50:00,-0.27946516534710975,-0.21745582
2017-11-25 14:00:00,-0.2506276095880522,-0.26815665
2017-11-25 14:10:00,-0.242145975784494,-0.20867486
2017-11-25 14:20:00,-0.2396014853677734,-0.19022544
2017-11-25 14:30:00,-0.24129781185283214,-0.22649951
2017-11-25 14:40:00,-0.29049128956738857,-0.22781704
2017-11-25 14:50:00,-0.35410354447234077,-0.28101802
2017-11-25 15:00:00,-0.41262681992211725,-0.33949172
2017-11-25 15:10:00,-0.36682599517767783,-0.39356694
2017-11-25 15:20:00,-0.3736113024961778,-0.33523926
2017-11-25 15:30:00,-0.4423125382345712,-0.3622824
2017-11-25 15:40:00,-0.417715799377293,-0.4504803
2017-11-25 15:50:00,-0.40244885825523485,-0.38884676
2017-11-25 16:00:00,-0.44316070216623304,-0.37092814
2017-11-25 16:10:00,-0.5127101004580229,-0.46250385
2017-11-25 16:20:00,-0.46351662412173195,-0.5076853
2017-11-25 16:30:00,-0.3863337545797803,-0.4202292
2017-11-25 16:40:00,-0.281161491832168,-0.3248213
2017-11-25 16:50:00,-0.2396014853677734,-0.17936511
2017-11-25 17:00:00,-0.2039786222902164,-0.14409806
2017-11-25 17:10:00,-0.013141857575359272,-0.032285877
2017-11-25 17:20:00,0.37616514448278127,0.25092492
2017-11-25 17:30:00,0.644184778739589,0.63609374
2017-11-25 17:40:00,0.7154305048947031,0.8203042
2017-11-25 17:50:00,0.7213676482815407,0.7621314
2017-11-25 18:00:00,0.7230639747665993,0.76377463
2017-11-25 18:10:00,0.7663203090943183,0.76464266
2017-11-25 18:20:00,0.7366345894035993,0.83201724
2017-11-25 18:30:00,0.7374827533352606,0.74683565
2017-11-25 18:40:00,0.7196713217964819,0.7436319
2017-11-25 18:50:00,0.7205194843498792,0.76108474
2017-11-25 19:00:00,0.7281529556000406,0.77067566
2017-11-25 19:10:00,0.7264566291149819,0.76645786
2017-11-25 19:20:00,0.7128860144779829,0.76244074
2017-11-25 19:30:00,0.7061007071594829,0.7236144
2017-11-25 19:40:00,0.6653888632484852,0.71220404
2017-11-25 19:50:00,0.653514576474809,0.6714591
2017-11-25 20:00:00,0.6407921257694725,0.67280346
2017-11-25 20:10:00,0.6306141641025901,0.64551264
2017-11-25 20:20:00,0.6111064060787526,0.6465892
2017-11-25 20:30:00,0.6043210987602536,0.61699873
2017-11-25 20:40:00,0.5746353804477997,0.61837703
2017-11-25 20:50:00,0.5169602689296846,0.5937265
2017-11-25 21:00:00,0.4838818962688482,0.5032514
2017-11-25 21:10:00,0.46691862728346684,0.33359957
2017-11-25 21:20:00,0.42451045826567535,0.56730753
2017-11-25 21:30:00,0.3931284120898977,0.43198717
2017-11-25 21:40:00,0.30237492791094617,0.3932504
2017-11-25 21:50:00,0.2930451301757261,0.25520197
2017-11-25 22:00:00,0.283715333818771,0.28399402
2017-11-25 22:10:00,0.22264756795227442,0.264682
2017-11-25 22:20:00,0.16666878429748402,0.21205013
2017-11-25 22:30:00,0.08524509785375257,0.15261805
2017-11-25 22:40:00,0.05640754209469601,0.06828278
2017-11-25 22:50:00,-0.05894268094153372,0.032731637
2017-11-25 23:00:00,-0.15308881809060174,-0.12639773
2017-11-25 23:10:00,-0.25995740732327227,-0.18726741
2017-11-25 23:20:00,-0.3405329298353414,-0.3013091
2017-11-25 23:30:00,-0.488961525532407,-0.37119105
2017-11-25 23:40:00,-0.5686888854910788,-0.52524465
2017-11-25 23:50:00,-0.6501125719348096,-0.6096615
2017-11-26 00:00:00,-0.7417142186671571,-0.69727594
2017-11-26 00:10:00,-0.8570644417033864,-0.7970944
2017-11-26 00:20:00,-0.9410326185638379,-0.92991495
2017-11-26 00:30:00,-1.0368750835762297,-0.98246044
2017-11-26 00:40:00,-1.0580791680851254,-1.0705142
2017-11-26 00:50:00,-1.1182987700199607,-1.0639112
2017-11-26 01:00:00,-1.1411991810139146,-1.1454421
2017-11-26 01:10:00,-1.1819110249249127,-1.1477914
2017-11-26 01:20:00,-1.1793665345081923,-1.1900237
2017-11-26 01:30:00,-1.2277118482910867,-1.1631063
2017-11-26 01:40:00,-1.3091355347348173,-1.2679079
2017-11-26 01:50:00,-1.3625698293511526,-1.3449166
2017-11-26 02:00:00,-1.3897110586251513,-1.3869417
2017-11-26 02:10:00,-1.40752249016393,-1.4000999
2017-11-26 02:20:00,-1.4389045349614422,-1.4247257
2017-11-26 02:30:00,-1.4643494377503823,-1.4521598
2017-11-26 02:40:00,-1.4592604569169416,-1.4790298
2017-11-26 02:50:00,-1.4677420907204999,-1.4605684
2017-11-26 03:00:00,-1.4745273980389992,-1.4689634
2017-11-26 03:10:00,-1.473679235485603,-1.4800241
2017-11-26 03:20:00,-1.4991241368962775,-1.4708166
2017-11-26 03:30:00,-1.5042131177297187,-1.5036122
2017-11-26 03:40:00,-1.512694751533277,-1.4990548
2017-11-26 03:50:00,-1.5517102675809509,-1.4984801
2017-11-26 04:00:00,-1.5559510844827302,-1.5721314
2017-11-26 04:10:00,-1.5500139410958922,-1.5618429
2017-11-26 04:20:00,-1.5491657771642302,-1.5222003
2017-11-26 04:30:00,-1.5457731241941133,-1.5275652
2017-11-26 04:40:00,-1.5542547579976715,-1.5245862
2017-11-26 04:50:00,-1.5593437388311127,-1.5489271
2017-11-26 05:00:00,-1.5355951625272308,-1.5542502
2017-11-26 05:10:00,-1.517783732366718,-1.5066044
2017-11-26 05:20:00,-1.5186318949201145,-1.4854257
2017-11-26 05:30:00,-1.402433509330489,-1.4981496
2017-11-26 05:40:00,-1.4058261623006059,-1.3222127
2017-11-26 05:50:00,-1.4397526988931042,-1.4027702
2017-11-26 06:00:00,-1.4940351560628362,-1.4561265
2017-11-26 06:10:00,-1.482160869289161,-1.5010611
2017-11-26 06:20:00,-1.501668627312998,-1.4788172
