,Originales,Predichos
2017-11-25 01:00:00,-1.1853037,-1.1530653
2017-11-25 01:10:00,-1.2930205,-1.188033
2017-11-25 01:20:00,-1.3337322,-1.3069824
2017-11-25 01:30:00,-1.35324,-1.3221111
2017-11-25 01:40:00,-1.3456066,-1.3307233
2017-11-25 01:50:00,-1.3498474,-1.314724
2017-11-25 02:00:00,-1.4007372,-1.3296545
2017-11-25 02:10:00,-1.4490825,-1.3918703
2017-11-25 02:20:00,-1.4482343,-1.4409556
2017-11-25 02:30:00,-1.4821609,-1.4331927
2017-11-25 02:40:00,-1.4838572,-1.4702132
2017-11-25 02:50:00,-1.4745274,-1.4534736
2017-11-25 03:00:00,-1.5008205,-1.443335
2017-11-25 03:10:00,-1.5338988,-1.4765056
2017-11-25 03:20:00,-1.5322025,-1.5102015
2017-11-25 03:30:00,-1.5567993,-1.5023642
2017-11-25 03:40:00,-1.5542548,-1.531904
2017-11-25 03:50:00,-1.5440768,-1.5144811
2017-11-25 04:00:00,-1.5517102,-1.4999295
2017-11-25 04:10:00,-1.5381397,-1.5099427
2017-11-25 04:20:00,-1.5567993,-1.4936297
2017-11-25 04:30:00,-1.5525584,-1.5299025
2017-11-25 04:40:00,-1.5483177,-1.5175079
2017-11-25 04:50:00,-1.5567993,-1.5156016
2017-11-25 05:00:00,-1.5542548,-1.5131606
2017-11-25 05:10:00,-1.5067576,-1.5090249
2017-11-25 05:20:00,-1.4660457,-1.4530537
2017-11-25 05:30:00,-1.3574809,-1.4242625
2017-11-25 05:40:00,-1.3676589,-1.2858628
2017-11-25 05:50:00,-1.3990408,-1.3280697
2017-11-25 06:00:00,-1.4380563,-1.3679528
2017-11-25 06:10:00,-1.4533234,-1.4298582
2017-11-25 06:20:00,-1.493187,-1.4395425
2017-11-25 06:30:00,-1.5746107,-1.506407
2017-11-25 06:40:00,-1.6992908,-1.6244273
2017-11-25 06:50:00,-1.8451748,-1.7871828
2017-11-25 07:00:00,-1.8129447,-1.9594839
2017-11-25 07:10:00,-1.7612066,-1.863143
2017-11-25 07:20:00,-1.7230393,-1.7624328
2017-11-25 07:30:00,-1.7221911,-1.6764218
2017-11-25 07:40:00,-1.6874164,-1.6911213
2017-11-25 07:50:00,-1.674694,-1.6440351
2017-11-25 08:00:00,-1.571218,-1.6384283
2017-11-25 08:10:00,-1.4796164,-1.4765064
2017-11-25 08:20:00,-1.3422139,-1.3858743
2017-11-25 08:30:00,-1.2412825,-1.2278085
2017-11-25 08:40:00,-1.218382,-1.1388698
2017-11-25 08:50:00,-1.1395029,-1.1229583
2017-11-25 09:00:00,-1.0614718,-1.0395292
2017-11-25 09:10:00,-1.0046449,-0.95899457
2017-11-25 09:20:00,-0.9384881,-0.90469235
2017-11-25 09:30:00,-0.8570644,-0.8302627
2017-11-25 09:40:00,-0.7493477,-0.7507407
2017-11-25 09:50:00,-0.6908244,-0.63678575
2017-11-25 10:00:00,-0.65011257,-0.5857571
2017-11-25 10:10:00,-0.61533785,-0.5496934
2017-11-25 10:20:00,-0.56020725,-0.5247891
