,Originales,Predichos
2017-11-25 01:00:00,-1.1853037,-1.1649022
2017-11-25 01:10:00,-1.2930205,-1.2071546
2017-11-25 01:20:00,-1.3337322,-1.3228703
2017-11-25 01:30:00,-1.35324,-1.3581011
2017-11-25 01:40:00,-1.3456066,-1.3720368
2017-11-25 01:50:00,-1.3498474,-1.354699
2017-11-25 02:00:00,-1.4007372,-1.3458674
2017-11-25 02:10:00,-1.4490825,-1.4051672
2017-11-25 02:20:00,-1.4482343,-1.4721962
2017-11-25 02:30:00,-1.4821609,-1.4654367
2017-11-25 02:40:00,-1.4838572,-1.5076009
2017-11-25 02:50:00,-1.4745274,-1.517932
2017-11-25 03:00:00,-1.5008205,-1.4924827
2017-11-25 03:10:00,-1.5338988,-1.5146488
2017-11-25 03:20:00,-1.5322025,-1.5537649
2017-11-25 03:30:00,-1.5567993,-1.5486721
2017-11-25 03:40:00,-1.5542548,-1.5771679
2017-11-25 03:50:00,-1.5440768,-1.5750765
2017-11-25 04:00:00,-1.5517102,-1.552638
2017-11-25 04:10:00,-1.5381397,-1.5610178
2017-11-25 04:20:00,-1.5567993,-1.543926
2017-11-25 04:30:00,-1.5525584,-1.5634857
2017-11-25 04:40:00,-1.5483177,-1.565836
2017-11-25 04:50:00,-1.5567993,-1.5634401
2017-11-25 05:00:00,-1.5542548,-1.5719254
2017-11-25 05:10:00,-1.5067576,-1.5643276
2017-11-25 05:20:00,-1.4660457,-1.5059972
2017-11-25 05:30:00,-1.3574809,-1.449116
2017-11-25 05:40:00,-1.3676589,-1.3065741
2017-11-25 05:50:00,-1.3990408,-1.3201187
2017-11-25 06:00:00,-1.4380563,-1.370635
2017-11-25 06:10:00,-1.4533234,-1.4286474
2017-11-25 06:20:00,-1.493187,-1.463484
2017-11-25 06:30:00,-1.5746107,-1.5185366
2017-11-25 06:40:00,-1.6992908,-1.6201794
2017-11-25 06:50:00,-1.8451748,-1.7439858
2017-11-25 07:00:00,-1.8129447,-1.8833802
2017-11-25 07:10:00,-1.7612066,-1.8301297
2017-11-25 07:20:00,-1.7230393,-1.7607183
2017-11-25 07:30:00,-1.7221911,-1.708312
2017-11-25 07:40:00,-1.6874164,-1.7051722
2017-11-25 07:50:00,-1.674694,-1.6697156
2017-11-25 08:00:00,-1.571218,-1.6511601
2017-11-25 08:10:00,-1.4796164,-1.527079
2017-11-25 08:20:00,-1.3422139,-1.4022443
2017-11-25 08:30:00,-1.2412825,-1.2313218
2017-11-25 08:40:00,-1.218382,-1.1010357
2017-11-25 08:50:00,-1.1395029,-1.0938133
2017-11-25 09:00:00,-1.0614718,-1.0083973
2017-11-25 09:10:00,-1.0046449,-0.9321661
2017-11-25 09:20:00,-0.9384881,-0.88798046
2017-11-25 09:30:00,-0.8570644,-0.81770045
2017-11-25 09:40:00,-0.7493477,-0.73779124
2017-11-25 09:50:00,-0.6908244,-0.6371592
2017-11-25 10:00:00,-0.65011257,-0.58185416
2017-11-25 10:10:00,-0.61533785,-0.5409388
2017-11-25 10:20:00,-0.56020725,-0.53244334
2017-11-25 10:30:00,-0.5084693,-0.49080467
2017-11-25 10:40:00,-0.4736946,-0.45305908
2017-11-25 10:50:00,-0.48641703,-0.42611754
2017-11-25 11:00:00,-0.42619744,-0.46122497
2017-11-25 11:10:00,-0.3625852,-0.3828163
2017-11-25 11:20:00,-0.3693705,-0.31936827
2017-11-25 11:30:00,-0.3456219,-0.34204718
2017-11-25 11:40:00,-0.2811615,-0.32164288
2017-11-25 11:50:00,-0.31763253,-0.24125557
2017-11-25 12:00:00,-0.3227215,-0.31260332
2017-11-25 12:10:00,-0.34307742,-0.30484715
2017-11-25 12:20:00,-0.34477374,-0.33285692
2017-11-25 12:30:00,-0.3320513,-0.3488279
2017-11-25 12:40:00,-0.33629212,-0.3277042
2017-11-25 12:50:00,-0.32865864,-0.32882813
2017-11-25 13:00:00,-0.27013537,-0.3273257
2017-11-25 13:10:00,-0.28709865,-0.24357091
2017-11-25 13:20:00,-0.2574129,-0.27602383
2017-11-25 13:30:00,-0.22857536,-0.23753475
2017-11-25 13:40:00,-0.22857536,-0.20375003
2017-11-25 13:50:00,-0.27946517,-0.2174934
2017-11-25 14:00:00,-0.2506276,-0.28873783
2017-11-25 14:10:00,-0.24214597,-0.22956486
2017-11-25 14:20:00,-0.23960148,-0.22798719
2017-11-25 14:30:00,-0.24129781,-0.23480393
2017-11-25 14:40:00,-0.29049128,-0.23612143
2017-11-25 14:50:00,-0.35410354,-0.30093017
2017-11-25 15:00:00,-0.41262683,-0.38125882
2017-11-25 15:10:00,-0.366826,-0.42932978
2017-11-25 15:20:00,-0.3736113,-0.36351746
2017-11-25 15:30:00,-0.44231254,-0.38435376
2017-11-25 15:40:00,-0.4177158,-0.46974844
2017-11-25 15:50:00,-0.40244886,-0.4256859
2017-11-25 16:00:00,-0.4431607,-0.40244973
2017-11-25 16:10:00,-0.5127101,-0.44924647
2017-11-25 16:20:00,-0.46351662,-0.5286336
2017-11-25 16:30:00,-0.38633376,-0.45949125
2017-11-25 16:40:00,-0.2811615,-0.36932692
2017-11-25 16:50:00,-0.23960148,-0.22713037
2017-11-25 17:00:00,-0.20397863,-0.17749624
2017-11-25 17:10:00,-0.013141857,-0.10523364
2017-11-25 17:20:00,0.37616515,0.21555604
2017-11-25 17:30:00,0.64418477,0.7767174
2017-11-25 17:40:00,0.7154305,0.8887968
2017-11-25 17:50:00,0.72136766,0.8211286
2017-11-25 18:00:00,0.72306395,0.72543436
2017-11-25 18:10:00,0.7663203,0.71231157
2017-11-25 18:20:00,0.7366346,0.74749136
2017-11-25 18:30:00,0.7374827,0.72356576
2017-11-25 18:40:00,0.7196713,0.71759486
2017-11-25 18:50:00,0.7205195,0.684935
2017-11-25 19:00:00,0.72815293,0.6814126
2017-11-25 19:10:00,0.72645664,0.70226455
2017-11-25 19:20:00,0.71288604,0.7061346
2017-11-25 19:30:00,0.7061007,0.67943454
2017-11-25 19:40:00,0.6653889,0.66846013
2017-11-25 19:50:00,0.65351456,0.6173149
2017-11-25 20:00:00,0.64079213,0.61092645
2017-11-25 20:10:00,0.63061416,0.60538644
2017-11-25 20:20:00,0.6111064,0.60004467
2017-11-25 20:30:00,0.6043211,0.5778697
2017-11-25 20:40:00,0.5746354,0.5719676
2017-11-25 20:50:00,0.51696026,0.5382994
2017-11-25 21:00:00,0.4838819,0.46955976
2017-11-25 21:10:00,0.46691862,0.43490478
2017-11-25 21:20:00,0.42451045,0.43391186
2017-11-25 21:30:00,0.39312842,0.3832839
2017-11-25 21:40:00,0.30237493,0.3546163
2017-11-25 21:50:00,0.29304513,0.25167418
2017-11-25 22:00:00,0.28371534,0.25653425
2017-11-25 22:10:00,0.22264756,0.260497
2017-11-25 22:20:00,0.16666879,0.18759973
2017-11-25 22:30:00,0.085245095,0.12556654
2017-11-25 22:40:00,0.05640754,0.035357542
2017-11-25 22:50:00,-0.05894268,0.010182284
2017-11-25 23:00:00,-0.15308882,-0.12802346
2017-11-25 23:10:00,-0.2599574,-0.22093184
2017-11-25 23:20:00,-0.34053293,-0.3350931
2017-11-25 23:30:00,-0.48896152,-0.41567498
2017-11-25 23:40:00,-0.56868887,-0.5715487
2017-11-25 23:50:00,-0.65011257,-0.63901615
2017-11-26 00:00:00,-0.74171424,-0.7067005
2017-11-26 00:10:00,-0.8570644,-0.8270538
2017-11-26 00:20:00,-0.94103265,-0.9170903
2017-11-26 00:30:00,-1.0368751,-0.9906891
2017-11-26 00:40:00,-1.0580791,-1.0793107
2017-11-26 00:50:00,-1.1182988,-1.0918082
2017-11-26 01:00:00,-1.1411992,-1.145246
2017-11-26 01:10:00,-1.181911,-1.1694407
2017-11-26 01:20:00,-1.1793666,-1.2008477
2017-11-26 01:30:00,-1.2277118,-1.1917388
2017-11-26 01:40:00,-1.3091356,-1.2467486
2017-11-26 01:50:00,-1.3625698,-1.3481996
2017-11-26 02:00:00,-1.389711,-1.3972193
2017-11-26 02:10:00,-1.4075224,-1.4323497
2017-11-26 02:20:00,-1.4389045,-1.4442227
2017-11-26 02:30:00,-1.4643494,-1.4756627
2017-11-26 02:40:00,-1.4592605,-1.5011685
2017-11-26 02:50:00,-1.4677421,-1.4888422
2017-11-26 03:00:00,-1.4745274,-1.4848504
2017-11-26 03:10:00,-1.4736792,-1.4929862
2017-11-26 03:20:00,-1.4991242,-1.4975867
2017-11-26 03:30:00,-1.5042131,-1.5269716
2017-11-26 03:40:00,-1.5126947,-1.5348136
2017-11-26 03:50:00,-1.5517102,-1.5400299
2017-11-26 04:00:00,-1.5559511,-1.5853709
2017-11-26 04:10:00,-1.5500139,-1.587396
2017-11-26 04:20:00,-1.5491657,-1.5710305
2017-11-26 04:30:00,-1.5457731,-1.5685325
2017-11-26 04:40:00,-1.5542548,-1.5648298
2017-11-26 04:50:00,-1.5593437,-1.5721717
2017-11-26 05:00:00,-1.5355952,-1.5792022
2017-11-26 05:10:00,-1.5177838,-1.5411093
2017-11-26 05:20:00,-1.5186319,-1.5145559
2017-11-26 05:30:00,-1.4024335,-1.5211991
2017-11-26 05:40:00,-1.4058262,-1.3667243
2017-11-26 05:50:00,-1.4397527,-1.3708314
2017-11-26 06:00:00,-1.4940351,-1.4296031
2017-11-26 06:10:00,-1.4821609,-1.5064878
2017-11-26 06:20:00,-1.5016686,-1.5058357
2017-11-26 06:30:00,-1.6102335,-1.5321014
2017-11-26 06:40:00,-1.7908924,-1.660045
2017-11-26 06:50:00,-1.9070908,-1.8434038
2017-11-26 07:00:00,-1.9469544,-1.9509518
2017-11-26 07:10:00,-1.9384727,-1.9506638
2017-11-26 07:20:00,-1.924054,-1.9266427
2017-11-26 07:30:00,-1.8655307,-1.8991245
2017-11-26 07:40:00,-1.8324523,-1.8373193
2017-11-26 07:50:00,-1.815489,-1.7820083
2017-11-26 08:00:00,-1.7510287,-1.7581222
2017-11-26 08:10:00,-1.7094686,-1.6987875
2017-11-26 08:20:00,-1.6984426,-1.6615725
2017-11-26 08:30:00,-1.633134,-1.6400689
2017-11-26 08:40:00,-1.5389879,-1.5592114
2017-11-26 08:50:00,-1.4431454,-1.446492
2017-11-26 09:00:00,-1.3914074,-1.3326373
2017-11-26 09:10:00,-1.3099837,-1.2763531
2017-11-26 09:20:00,-1.2514604,-1.1951927
2017-11-26 09:30:00,-1.1691886,-1.1453582
2017-11-26 09:40:00,-1.057231,-1.055877
2017-11-26 09:50:00,-1.0182155,-0.9340739
2017-11-26 10:00:00,-0.95036244,-0.92261034
2017-11-26 10:10:00,-0.8630016,-0.84478235
2017-11-26 10:20:00,-0.7934522,-0.75733566
2017-11-26 10:30:00,-0.78242606,-0.70255524
2017-11-26 10:40:00,-0.6908244,-0.7085564
2017-11-26 10:50:00,-0.6255158,-0.6106399
2017-11-26 11:00:00,-0.6289085,-0.5542792
2017-11-26 11:10:00,-0.5610554,-0.57489115
2017-11-26 11:20:00,-0.49574682,-0.4923324
2017-11-26 11:30:00,-0.50168395,-0.44071096
2017-11-26 11:40:00,-0.5118619,-0.4800008
2017-11-26 11:50:00,-0.4940505,-0.4930989
2017-11-26 12:00:00,-0.4762391,-0.47092694
2017-11-26 12:10:00,-0.4592758,-0.46114922
2017-11-26 12:20:00,-0.44485703,-0.44198772
2017-11-26 12:30:00,-0.42450112,-0.42447403
2017-11-26 12:40:00,-0.3642815,-0.417785
2017-11-26 12:50:00,-0.29049128,-0.34521466
2017-11-26 13:00:00,-0.25910923,-0.25654283
2017-11-26 13:10:00,-0.30575824,-0.22018121
2017-11-26 13:20:00,-0.32696232,-0.2892753
2017-11-26 13:30:00,-0.29303578,-0.31843728
2017-11-26 13:40:00,-0.28370598,-0.2825932
2017-11-26 13:50:00,-0.32017702,-0.27760902
2017-11-26 14:00:00,-0.25826108,-0.3304791
2017-11-26 14:10:00,-0.27776885,-0.23514397
2017-11-26 14:20:00,-0.36088884,-0.27709606
2017-11-26 14:30:00,-0.38887826,-0.38024992
2017-11-26 14:40:00,-0.40414518,-0.39899048
2017-11-26 14:50:00,-0.4592758,-0.41991407
2017-11-26 15:00:00,-0.49320233,-0.48715198
2017-11-26 15:10:00,-0.49489868,-0.5006928
2017-11-26 15:20:00,-0.5211917,-0.49831277
2017-11-26 15:30:00,-0.5763224,-0.5393421
2017-11-26 15:40:00,-0.5805632,-0.5929338
2017-11-26 15:50:00,-0.5254325,-0.5918699
2017-11-26 16:00:00,-0.5177991,-0.52378434
2017-11-26 16:10:00,-0.5356105,-0.5041415
2017-11-26 16:20:00,-0.5890448,-0.52652365
2017-11-26 16:30:00,-0.5669926,-0.5971077
2017-11-26 16:40:00,-0.4898097,-0.57153636
2017-11-26 16:50:00,-0.42110845,-0.46317935
2017-11-26 17:00:00,-0.29897293,-0.3658808
2017-11-26 17:10:00,-0.10983249,-0.15350372
2017-11-26 17:20:00,0.32951614,0.19327067
2017-11-26 17:30:00,0.57293904,0.7333046
2017-11-26 17:40:00,0.67980766,0.8016945
2017-11-26 17:50:00,0.7332419,0.7880152
2017-11-26 18:00:00,0.77225745,0.750111
2017-11-26 18:10:00,0.7603832,0.7653593
2017-11-26 18:20:00,0.77649826,0.7471565
2017-11-26 18:30:00,0.7476607,0.78491354
2017-11-26 18:40:00,0.7205195,0.7388851
2017-11-26 18:50:00,0.72815293,0.70076984
2017-11-26 19:00:00,0.7739538,0.69159544
2017-11-26 19:10:00,0.7824354,0.76092345
2017-11-26 19:20:00,0.76716846,0.76991737
2017-11-26 19:30:00,0.7739538,0.74316657
2017-11-26 19:40:00,0.79091704,0.7417664
2017-11-26 19:50:00,0.79346156,0.75863254
2017-11-26 20:00:00,0.7637758,0.7531671
2017-11-26 20:10:00,0.7383309,0.72497535
2017-11-26 20:20:00,0.69422644,0.6980059
2017-11-26 20:30:00,0.6645407,0.647314
2017-11-26 20:40:00,0.6484256,0.6135604
2017-11-26 20:50:00,0.59838396,0.60480917
2017-11-26 21:00:00,0.5339235,0.5466332
2017-11-26 21:10:00,0.4932117,0.47595644
2017-11-26 21:20:00,0.46691862,0.44172066
2017-11-26 21:30:00,0.41178802,0.42063054
2017-11-26 21:40:00,0.36937985,0.35926354
2017-11-26 21:50:00,0.33206064,0.32036752
2017-11-26 22:00:00,0.26675206,0.28439564
2017-11-26 22:10:00,0.21671042,0.21547662
2017-11-26 22:20:00,0.14207205,0.16492398
2017-11-26 22:30:00,0.019936515,0.082821414
2017-11-26 22:40:00,-0.08099493,-0.059580237
2017-11-26 22:50:00,-0.1742929,-0.16152777
2017-11-26 23:00:00,-0.26335007,-0.25231662
2017-11-26 23:10:00,-0.34986272,-0.34024456
2017-11-26 23:20:00,-0.44061622,-0.43220633
2017-11-26 23:30:00,-0.548333,-0.52131635
2017-11-26 23:40:00,-0.6797983,-0.62724864
2017-11-26 23:50:00,-0.75952566,-0.745774
2017-11-27 00:00:00,-0.8350122,-0.8036651
2017-11-27 00:10:00,-0.89183915,-0.8977218
2017-11-27 00:20:00,-0.92915833,-0.9378296
2017-11-27 00:30:00,-1.0300897,-0.970022
2017-11-27 00:40:00,-1.0614718,-1.0691289
2017-11-27 00:50:00,-1.1149061,-1.0956305
2017-11-27 01:00:00,-1.1759739,-1.1465541
2017-11-27 01:10:00,-1.217534,-1.2089486
2017-11-27 01:20:00,-1.2251674,-1.2532446
2017-11-27 01:30:00,-1.2557012,-1.2464544
2017-11-27 01:40:00,-1.2709682,-1.2842482
2017-11-27 01:50:00,-1.3125281,-1.298418
2017-11-27 02:00:00,-1.3405176,-1.3228803
2017-11-27 02:10:00,-1.3922555,-1.3739665
2017-11-27 02:20:00,-1.4329674,-1.4342114
2017-11-27 02:30:00,-1.456716,-1.479425
2017-11-27 02:40:00,-1.4711348,-1.5097173
2017-11-27 02:50:00,-1.4872499,-1.5184304
2017-11-27 03:00:00,-1.5050613,-1.5239975
2017-11-27 03:10:00,-1.5322025,-1.5382228
2017-11-27 03:20:00,-1.5737625,-1.563144
2017-11-27 03:30:00,-1.5881813,-1.6095985
2017-11-27 03:40:00,-1.5567993,-1.6220208
2017-11-27 03:50:00,-1.5517102,-1.586719
2017-11-27 04:00:00,-1.555103,-1.5718008
2017-11-27 04:10:00,-1.5440768,-1.5671612
2017-11-27 04:20:00,-1.5432286,-1.5552443
2017-11-27 04:30:00,-1.5254172,-1.5526576
2017-11-27 04:40:00,-1.4965796,-1.5346131
2017-11-27 04:50:00,-1.4855535,-1.4972801
2017-11-27 05:00:00,-1.4601086,-1.4827831
2017-11-27 05:10:00,-1.4592605,-1.4493047
2017-11-27 05:20:00,-1.4312711,-1.4470139
2017-11-27 05:30:00,-1.3311877,-1.4174769
2017-11-27 05:40:00,-1.3260988,-1.2883818
2017-11-27 05:50:00,-1.3820776,-1.2859154
2017-11-27 06:00:00,-1.373596,-1.3720961
2017-11-27 06:10:00,-1.3651143,-1.369013
2017-11-27 06:20:00,-1.3846221,-1.3643891
2017-11-27 06:30:00,-1.4185486,-1.407483
2017-11-27 06:40:00,-1.5101503,-1.463278
2017-11-27 06:50:00,-1.5703698,-1.5838692
2017-11-27 07:00:00,-1.4787682,-1.6496314
2017-11-27 07:10:00,-1.4177004,-1.5162698
2017-11-27 07:20:00,-1.3744441,-1.419097
2017-11-27 07:30:00,-1.3176172,-1.3662678
2017-11-27 07:40:00,-1.2726645,-1.2885604
2017-11-27 07:50:00,-1.2667273,-1.2390301
2017-11-27 08:00:00,-1.2031151,-1.2306423
2017-11-27 08:10:00,-1.0835241,-1.1447947
2017-11-27 08:20:00,-0.9800481,-1.0104164
2017-11-27 08:30:00,-1.0758905,-0.9192456
2017-11-27 08:40:00,-0.875724,-1.0386131
2017-11-27 08:50:00,-0.83840483,-0.7856199
2017-11-27 09:00:00,-0.74171424,-0.77457154
2017-11-27 09:10:00,-0.89183915,-0.6680478
2017-11-27 09:20:00,-1.2209265,-0.8531095
2017-11-27 09:30:00,-1.2107486,-1.3074563
2017-11-27 09:40:00,-1.1683404,-1.2641785
2017-11-27 09:50:00,-1.0903094,-1.1993351
2017-11-27 10:00:00,-1.0504457,-1.1017288
2017-11-27 10:10:00,-0.927462,-1.0350838
2017-11-27 10:20:00,-0.82737875,-0.8830507
2017-11-27 10:30:00,-0.7764889,-0.7720264
