,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.38836992
2017-11-24 23:50:00,-0.6899762519141456,-0.6604779
2017-11-25 00:00:00,-0.7917558603133754,-0.6868812
2017-11-25 00:10:00,-0.8672424033702688,-0.7244837
2017-11-25 00:20:00,-0.9613885405193368,-0.7709801
2017-11-25 00:30:00,-1.0182154881057894,-0.84662414
2017-11-25 00:40:00,-1.080131416525683,-0.96029603
2017-11-25 00:50:00,-1.1378065280437977,-1.1038605
2017-11-25 01:00:00,-1.1853036778950299,-1.1277224
2017-11-25 01:10:00,-1.2930204296810972,-1.1501712
2017-11-25 01:20:00,-1.3337322735920953,-1.1708715
2017-11-25 01:30:00,-1.3532400316159323,-1.1938323
2017-11-25 01:40:00,-1.345606561744036,-1.2241267
2017-11-25 01:50:00,-1.3498473786458154,-1.2619499
2017-11-25 02:00:00,-1.40073718284543,-1.2711622
2017-11-25 02:10:00,-1.4490824966283247,-1.2768332
2017-11-25 02:20:00,-1.448234332696663,-1.2799414
2017-11-25 02:30:00,-1.482160869289161,-1.2834629
2017-11-25 02:40:00,-1.4838571957742193,-1.287593
2017-11-25 02:50:00,-1.4745273980389992,-1.29646
2017-11-25 03:00:00,-1.5008204633813362,-1.2933679
2017-11-25 03:10:00,-1.5338988360421726,-1.2905428
2017-11-25 03:20:00,-1.532202509557114,-1.2856164
2017-11-25 03:30:00,-1.556799248414392,-1.2789148
2017-11-25 03:40:00,-1.5542547579976715,-1.278642
2017-11-25 03:50:00,-1.5440767977090546,-1.2859896
2017-11-25 04:00:00,-1.5517102675809509,-1.2781111
2017-11-25 04:10:00,-1.5381396529439515,-1.2651342
2017-11-25 04:20:00,-1.556799248414392,-1.252529
2017-11-25 04:30:00,-1.5525584315126126,-1.2399346
2017-11-25 04:40:00,-1.548317614610834,-1.2344451
2017-11-25 04:50:00,-1.556799248414392,-1.2422589
2017-11-25 05:00:00,-1.5542547579976715,-1.2518302
2017-11-25 05:10:00,-1.5067576081464393,-1.2761763
2017-11-25 05:20:00,-1.466045764235441,-1.3182558
