,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.4522986
2017-11-24 23:50:00,-0.6899762519141456,-0.5818902
2017-11-25 00:00:00,-0.7917558603133754,-0.6282351
2017-11-25 00:10:00,-0.8672424033702688,-0.6689366
2017-11-25 00:20:00,-0.9613885405193368,-0.7157178
2017-11-25 00:30:00,-1.0182154881057894,-0.7752472
2017-11-25 00:40:00,-1.080131416525683,-0.83883846
2017-11-25 00:50:00,-1.1378065280437977,-0.90618485
2017-11-25 01:00:00,-1.1853036778950299,-0.9460805
2017-11-25 01:10:00,-1.2930204296810972,-0.974142
2017-11-25 01:20:00,-1.3337322735920953,-1.0008411
2017-11-25 01:30:00,-1.3532400316159323,-1.0367992
2017-11-25 01:40:00,-1.345606561744036,-1.0784899
2017-11-25 01:50:00,-1.3498473786458154,-1.1160468
2017-11-25 02:00:00,-1.40073718284543,-1.1380261
2017-11-25 02:10:00,-1.4490824966283247,-1.1524459
2017-11-25 02:20:00,-1.448234332696663,-1.1680936
2017-11-25 02:30:00,-1.482160869289161,-1.1824372
2017-11-25 02:40:00,-1.4838571957742193,-1.1989619
2017-11-25 02:50:00,-1.4745273980389992,-1.212444
2017-11-25 03:00:00,-1.5008204633813362,-1.2165724
2017-11-25 03:10:00,-1.5338988360421726,-1.2152585
2017-11-25 03:20:00,-1.532202509557114,-1.2139565
2017-11-25 03:30:00,-1.556799248414392,-1.2180457
2017-11-25 03:40:00,-1.5542547579976715,-1.2196096
2017-11-25 03:50:00,-1.5440767977090546,-1.219211
2017-11-25 04:00:00,-1.5517102675809509,-1.1346301
2017-11-25 04:10:00,-1.5381396529439515,-1.1737126
2017-11-25 04:20:00,-1.556799248414392,-1.2066779
2017-11-25 04:30:00,-1.5525584315126126,-1.2398936
2017-11-25 04:40:00,-1.548317614610834,-1.2868122
2017-11-25 04:50:00,-1.556799248414392,-1.3306645
2017-11-25 05:00:00,-1.5542547579976715,-1.358561
2017-11-25 05:10:00,-1.5067576081464393,-1.3621646
2017-11-25 05:20:00,-1.466045764235441,-1.3278482
