date,pollution,dew,temp,press,wnd_dir,wnd_spd
2010-01-01 00:00:00,129.0,-21,-11.0,1021.0,2,1.79
2010-01-01 01:00:00,129.0,-21,-12.0,1020.0,2,4.92
2010-01-01 02:00:00,129.0,-21,-11.0,1019.0,2,6.71
2010-01-01 03:00:00,129.0,-21,-14.0,1019.0,2,9.84
2010-01-01 04:00:00,129.0,-20,-12.0,1018.0,2,12.97
2010-01-01 05:00:00,129.0,-19,-10.0,1017.0,2,16.1
2010-01-01 06:00:00,129.0,-19,-9.0,1017.0,2,19.23
2010-01-01 07:00:00,129.0,-19,-9.0,1017.0,2,21.02
2010-01-01 08:00:00,129.0,-19,-9.0,1017.0,2,24.15
2010-01-01 09:00:00,129.0,-20,-8.0,1017.0,2,27.28
2010-01-01 10:00:00,129.0,-19,-7.0,1017.0,2,31.3
2010-01-01 11:00:00,129.0,-18,-5.0,1017.0,2,34.43
2010-01-01 12:00:00,129.0,-19,-5.0,1015.0,2,37.56
2010-01-01 13:00:00,129.0,-18,-3.0,1015.0,2,40.69
2010-01-01 14:00:00,129.0,-18,-2.0,1014.0,2,43.82
2010-01-01 15:00:00,129.0,-18,-1.0,1014.0,0,0.89
2010-01-01 16:00:00,129.0,-19,-2.0,1015.0,2,1.79
2010-01-01 17:00:00,129.0,-18,-3.0,1015.0,2,2.68
2010-01-01 18:00:00,129.0,-18,-5.0,1016.0,3,1.79
2010-01-01 19:00:00,129.0,-17,-4.0,1017.0,2,1.79
2010-01-01 20:00:00,129.0,-17,-5.0,1017.0,0,0.89
2010-01-01 21:00:00,129.0,-17,-5.0,1018.0,2,1.79
2010-01-01 22:00:00,129.0,-17,-5.0,1018.0,2,2.68
2010-01-01 23:00:00,129.0,-17,-5.0,1020.0,0,0.89
2010-01-02 00:00:00,129.0,-16,-4.0,1020.0,1,1.79
2010-01-02 01:00:00,148.0,-15,-4.0,1020.0,1,2.68
2010-01-02 02:00:00,159.0,-11,-5.0,1021.0,1,3.57
2010-01-02 03:00:00,181.0,-7,-5.0,1022.0,1,5.36
2010-01-02 04:00:00,138.0,-7,-5.0,1022.0,1,6.25
2010-01-02 05:00:00,109.0,-7,-6.0,1022.0,1,7.14
2010-01-02 06:00:00,105.0,-7,-6.0,1023.0,1,8.93
