,Originales,Predichos
2017-11-24 23:10:00,-0.3083027211061668,-0.26195464
2017-11-24 23:20:00,-0.40329702218689667,-0.36555973
2017-11-24 23:30:00,-0.5254325525416259,-0.4647466
2017-11-24 23:40:00,-0.6161860353423114,-0.5932184
2017-11-24 23:50:00,-0.6899762519141456,-0.68368965
2017-11-25 00:00:00,-0.7917558603133754,-0.74679846
2017-11-25 00:10:00,-0.8672424033702688,-0.8560678
2017-11-25 00:20:00,-0.9613885405193368,-0.913852
2017-11-25 00:30:00,-1.0182154881057894,-1.006672
2017-11-25 00:40:00,-1.080131416525683,-1.0477939
2017-11-25 00:50:00,-1.1378065280437977,-1.1195483
2017-11-25 01:00:00,-1.1853036778950299,-1.1921282
2017-11-25 01:10:00,-1.2930204296810972,-1.2099227
2017-11-25 01:20:00,-1.3337322735920953,-1.3370829
2017-11-25 01:30:00,-1.3532400316159323,-1.3451645
2017-11-25 01:40:00,-1.345606561744036,-1.3614216
2017-11-25 01:50:00,-1.3498473786458154,-1.3576713
2017-11-25 02:00:00,-1.40073718284543,-1.364104
2017-11-25 02:10:00,-1.4490824966283247,-1.4142956
2017-11-25 02:20:00,-1.448234332696663,-1.4529517
2017-11-25 02:30:00,-1.482160869289161,-1.4417673
2017-11-25 02:40:00,-1.4838571957742193,-1.4886591
2017-11-25 02:50:00,-1.4745273980389992,-1.4706893
2017-11-25 03:00:00,-1.5008204633813362,-1.471977
2017-11-25 03:10:00,-1.5338988360421726,-1.4973736
2017-11-25 03:20:00,-1.532202509557114,-1.5230329
2017-11-25 03:30:00,-1.556799248414392,-1.5077397
2017-11-25 03:40:00,-1.5542547579976715,-1.5506608
2017-11-25 03:50:00,-1.5440767977090546,-1.5227284
2017-11-25 04:00:00,-1.5517102675809509,-1.5190632
2017-11-25 04:10:00,-1.5381396529439515,-1.5306742
2017-11-25 04:20:00,-1.556799248414392,-1.509568
2017-11-25 04:30:00,-1.5525584315126126,-1.5430218
2017-11-25 04:40:00,-1.548317614610834,-1.5304345
2017-11-25 04:50:00,-1.556799248414392,-1.5271842
2017-11-25 05:00:00,-1.5542547579976715,-1.5266333
