,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.96523064
2017-11-24 23:50:00,-0.6899762519141456,-1.0440105
2017-11-25 00:00:00,-0.7917558603133754,-1.0978209
2017-11-25 00:10:00,-0.8672424033702688,-1.1448445
2017-11-25 00:20:00,-0.9613885405193368,-1.1833742
2017-11-25 00:30:00,-1.0182154881057894,-1.2147902
2017-11-25 00:40:00,-1.080131416525683,-1.2379595
2017-11-25 00:50:00,-1.1378065280437977,-1.2544926
2017-11-25 01:00:00,-1.18530367789503,-1.2615985
2017-11-25 01:10:00,-1.2930204296810972,-1.2686175
2017-11-25 01:20:00,-1.3337322735920951,-1.2756268
2017-11-25 01:30:00,-1.3532400316159323,-1.2825571
2017-11-25 01:40:00,-1.345606561744036,-1.2907827
2017-11-25 01:50:00,-1.3498473786458154,-1.3008375
2017-11-25 02:00:00,-1.40073718284543,-1.3073602
2017-11-25 02:10:00,-1.449082496628325,-1.3154361
2017-11-25 02:20:00,-1.448234332696663,-1.3234922
2017-11-25 02:30:00,-1.482160869289161,-1.3313404
2017-11-25 02:40:00,-1.4838571957742193,-1.3384901
2017-11-25 02:50:00,-1.4745273980389992,-1.3445795
2017-11-25 03:00:00,-1.5008204633813362,-1.3462683
2017-11-25 03:10:00,-1.5338988360421726,-1.3476334
2017-11-25 03:20:00,-1.532202509557114,-1.348225
2017-11-25 03:30:00,-1.556799248414392,-1.3484672
2017-11-25 03:40:00,-1.5542547579976715,-1.3496671
2017-11-25 03:50:00,-1.5440767977090546,-1.3516033
2017-11-25 04:00:00,-1.5517102675809509,-1.3577658
2017-11-25 04:10:00,-1.5381396529439515,-1.3560086
2017-11-25 04:20:00,-1.556799248414392,-1.3473865
2017-11-25 04:30:00,-1.5525584315126126,-1.3343487
2017-11-25 04:40:00,-1.548317614610834,-1.3165319
2017-11-25 04:50:00,-1.556799248414392,-1.2823886
2017-11-25 05:00:00,-1.5542547579976715,-1.1811429
2017-11-25 05:10:00,-1.506757608146439,-1.0031438
2017-11-25 05:20:00,-1.466045764235441,-0.91430265
2017-11-25 05:30:00,-1.3574808485177117,-1.0306
2017-11-25 05:40:00,-1.3676588101845937,-1.2319295
2017-11-25 05:50:00,-1.3990408549821065,-1.396186
2017-11-25 06:00:00,-1.438056372408046,-1.4062006
2017-11-25 06:10:00,-1.4533233135301036,-1.4090911
2017-11-25 06:20:00,-1.49318699350944,-1.4053509
2017-11-25 06:30:00,-1.5746106799531705,-1.3952547
2017-11-25 06:40:00,-1.6992906993463546,-1.3776373
2017-11-25 06:50:00,-1.8451748046267,-1.3537605
2017-11-25 07:00:00,-1.8129445958975248,-1.3361045
2017-11-25 07:10:00,-1.761206627766248,-1.3129257
2017-11-25 07:20:00,-1.7230392742719705,-1.2828838
2017-11-25 07:30:00,-1.7221911117185742,-1.247303
2017-11-25 07:40:00,-1.687416412572679,-1.2053086
2017-11-25 07:50:00,-1.6746939604890765,-1.15784
2017-11-25 08:00:00,-1.5712180256047878,-1.1329366
2017-11-25 08:10:00,-1.4796163788724406,-1.1030113
2017-11-25 08:20:00,-1.3422139073956536,-1.0693246
2017-11-25 08:30:00,-1.2412824629280856,-1.0284939
2017-11-25 08:40:00,-1.2183820505558662,-0.9835176
2017-11-25 08:50:00,-1.1395028545288564,-0.931975
2017-11-25 09:00:00,-1.0614718210552423,-0.905857
2017-11-25 09:10:00,-1.00464487346879,-0.867637
2017-11-25 09:20:00,-0.9384881281471172,-0.81865746
2017-11-25 09:30:00,-0.8570644417033864,-0.75879186
2017-11-25 09:40:00,-0.7493476899173189,-0.69314396
2017-11-25 09:50:00,-0.6908244158458079,-0.62268823
2017-11-25 10:00:00,-0.6501125719348096,-0.56204253
2017-11-25 10:10:00,-0.6153378727889145,-0.5084887
2017-11-25 10:20:00,-0.5602072516875205,-0.46105483
2017-11-25 10:30:00,-0.508469283556244,-0.42595097
