,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.95651346
2017-11-24 23:50:00,-0.6899762519141456,-1.0305451
2017-11-25 00:00:00,-0.7917558603133754,-1.0869275
2017-11-25 00:10:00,-0.8672424033702688,-1.1093339
2017-11-25 00:20:00,-0.9613885405193368,-1.1180813
2017-11-25 00:30:00,-1.0182154881057894,-1.1249703
2017-11-25 00:40:00,-1.080131416525683,-1.130035
2017-11-25 00:50:00,-1.1378065280437977,-1.1454256
2017-11-25 01:00:00,-1.18530367789503,-1.166434
2017-11-25 01:10:00,-1.2930204296810972,-1.1791846
2017-11-25 01:20:00,-1.3337322735920951,-1.1822244
2017-11-25 01:30:00,-1.3532400316159323,-1.196666
2017-11-25 01:40:00,-1.345606561744036,-1.2164795
2017-11-25 01:50:00,-1.3498473786458154,-1.2330159
2017-11-25 02:00:00,-1.40073718284543,-1.2482423
2017-11-25 02:10:00,-1.449082496628325,-1.2606021
2017-11-25 02:20:00,-1.448234332696663,-1.2667636
2017-11-25 02:30:00,-1.482160869289161,-1.2732207
2017-11-25 02:40:00,-1.4838571957742193,-1.2774435
2017-11-25 02:50:00,-1.4745273980389992,-1.2754818
2017-11-25 03:00:00,-1.5008204633813362,-1.2648575
2017-11-25 03:10:00,-1.5338988360421726,-1.2694093
2017-11-25 03:20:00,-1.532202509557114,-1.2837662
2017-11-25 03:30:00,-1.556799248414392,-1.2887152
2017-11-25 03:40:00,-1.5542547579976715,-1.2898742
2017-11-25 03:50:00,-1.5440767977090546,-1.2892514
2017-11-25 04:00:00,-1.5517102675809509,-1.338756
2017-11-25 04:10:00,-1.5381396529439515,-1.358567
2017-11-25 04:20:00,-1.556799248414392,-1.3468577
2017-11-25 04:30:00,-1.5525584315126126,-1.2729536
2017-11-25 04:40:00,-1.548317614610834,-1.2390879
2017-11-25 04:50:00,-1.556799248414392,-1.2929413
2017-11-25 05:00:00,-1.5542547579976715,-1.3795574
2017-11-25 05:10:00,-1.506757608146439,-1.4340671
2017-11-25 05:20:00,-1.466045764235441,-1.4423515
2017-11-25 05:30:00,-1.3574808485177117,-1.438161
2017-11-25 05:40:00,-1.3676588101845937,-1.4788523
2017-11-25 05:50:00,-1.3990408549821065,-1.5415958
2017-11-25 06:00:00,-1.438056372408046,-1.5317485
2017-11-25 06:10:00,-1.4533233135301036,-1.5213667
2017-11-25 06:20:00,-1.49318699350944,-1.5098212
2017-11-25 06:30:00,-1.5746106799531705,-1.4985839
2017-11-25 06:40:00,-1.6992906993463546,-1.4836215
2017-11-25 06:50:00,-1.8451748046267,-1.4675083
2017-11-25 07:00:00,-1.8129445958975248,-1.4492191
2017-11-25 07:10:00,-1.761206627766248,-1.4323231
2017-11-25 07:20:00,-1.7230392742719705,-1.4153305
2017-11-25 07:30:00,-1.7221911117185742,-1.3986632
2017-11-25 07:40:00,-1.687416412572679,-1.3827469
2017-11-25 07:50:00,-1.6746939604890765,-1.366057
2017-11-25 08:00:00,-1.5712180256047878,-1.3342191
2017-11-25 08:10:00,-1.4796163788724406,-1.2638487
2017-11-25 08:20:00,-1.3422139073956536,-1.2199624
2017-11-25 08:30:00,-1.2412824629280856,-1.1673008
2017-11-25 08:40:00,-1.2183820505558662,-1.1269367
2017-11-25 08:50:00,-1.1395028545288564,-1.1012563
2017-11-25 09:00:00,-1.0614718210552423,-1.0800747
2017-11-25 09:10:00,-1.00464487346879,-1.0588635
2017-11-25 09:20:00,-0.9384881281471172,-1.0404897
2017-11-25 09:30:00,-0.8570644417033864,-0.97308356
2017-11-25 09:40:00,-0.7493476899173189,-0.86944693
2017-11-25 09:50:00,-0.6908244158458079,-0.64564776
2017-11-25 10:00:00,-0.6501125719348096,-0.34379044
2017-11-25 10:10:00,-0.6153378727889145,-0.34755445
2017-11-25 10:20:00,-0.5602072516875205,-0.37323016
2017-11-25 10:30:00,-0.508469283556244,-0.42527044
2017-11-25 10:40:00,-0.4736945844103488,-0.50957745
2017-11-25 10:50:00,-0.4864170351156864,-0.5621647
2017-11-25 11:00:00,-0.4261974345591167,-0.548018
