,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.3672553
2017-11-24 23:50:00,-0.6899762519141456,-0.47122124
2017-11-25 00:00:00,-0.7917558603133754,-0.52144766
2017-11-25 00:10:00,-0.8672424033702688,-0.5775799
2017-11-25 00:20:00,-0.9613885405193368,-0.6396506
2017-11-25 00:30:00,-1.0182154881057894,-0.70908326
2017-11-25 00:40:00,-1.080131416525683,-0.78022224
2017-11-25 00:50:00,-1.1378065280437977,-0.84321123
2017-11-25 01:00:00,-1.1853036778950299,-0.87099487
2017-11-25 01:10:00,-1.2930204296810972,-0.9069169
2017-11-25 01:20:00,-1.3337322735920953,-0.9489942
2017-11-25 01:30:00,-1.3532400316159323,-0.9958175
2017-11-25 01:40:00,-1.345606561744036,-1.0442852
2017-11-25 01:50:00,-1.3498473786458154,-1.0860718
2017-11-25 02:00:00,-1.40073718284543,-1.1064954
2017-11-25 02:10:00,-1.4490824966283247,-1.1285628
2017-11-25 02:20:00,-1.448234332696663,-1.1526724
2017-11-25 02:30:00,-1.482160869289161,-1.177903
2017-11-25 02:40:00,-1.4838571957742193,-1.2020786
2017-11-25 02:50:00,-1.4745273980389992,-1.2209972
2017-11-25 03:00:00,-1.5008204633813362,-1.2283155
2017-11-25 03:10:00,-1.5338988360421726,-1.2378057
2017-11-25 03:20:00,-1.532202509557114,-1.2494744
2017-11-25 03:30:00,-1.556799248414392,-1.2633731
2017-11-25 03:40:00,-1.5542547579976715,-1.2778901
2017-11-25 03:50:00,-1.5440767977090546,-1.2885998
2017-11-25 04:00:00,-1.5517102675809509,-1.3051277
2017-11-25 04:10:00,-1.5381396529439515,-1.3209854
2017-11-25 04:20:00,-1.556799248414392,-1.334118
2017-11-25 04:30:00,-1.5525584315126126,-1.3466924
2017-11-25 04:40:00,-1.548317614610834,-1.3585857
2017-11-25 04:50:00,-1.556799248414392,-1.3664266
2017-11-25 05:00:00,-1.5542547579976715,-1.3620225
2017-11-25 05:10:00,-1.5067576081464393,-1.3444647
2017-11-25 05:20:00,-1.466045764235441,-1.315229
2017-11-25 05:30:00,-1.3574808485177117,-1.2987123
2017-11-25 05:40:00,-1.3676588101845937,-1.339015
2017-11-25 05:50:00,-1.3990408549821063,-1.4226466
2017-11-25 06:00:00,-1.438056372408046,-1.4109193
2017-11-25 06:10:00,-1.4533233135301036,-1.3951758
2017-11-25 06:20:00,-1.49318699350944,-1.3754696
2017-11-25 06:30:00,-1.5746106799531703,-1.3531765
2017-11-25 06:40:00,-1.6992906993463546,-1.3293809
2017-11-25 06:50:00,-1.8451748046266996,-1.3073009
2017-11-25 07:00:00,-1.8129445958975252,-1.2851226
2017-11-25 07:10:00,-1.7612066277662481,-1.2541575
2017-11-25 07:20:00,-1.7230392742719705,-1.2142004
2017-11-25 07:30:00,-1.7221911117185742,-1.1677815
2017-11-25 07:40:00,-1.687416412572679,-1.1177037
2017-11-25 07:50:00,-1.6746939604890765,-1.070078
2017-11-25 08:00:00,-1.5712180256047878,-1.0201665
2017-11-25 08:10:00,-1.4796163788724406,-0.9526062
2017-11-25 08:20:00,-1.3422139073956536,-0.87204975
2017-11-25 08:30:00,-1.2412824629280856,-0.78400505
2017-11-25 08:40:00,-1.2183820505558662,-0.69706386
2017-11-25 08:50:00,-1.1395028545288564,-0.62213236
2017-11-25 09:00:00,-1.0614718210552423,-0.5485063
2017-11-25 09:10:00,-1.00464487346879,-0.45689574
2017-11-25 09:20:00,-0.9384881281471172,-0.3541835
2017-11-25 09:30:00,-0.8570644417033864,-0.24415167
2017-11-25 09:40:00,-0.7493476899173189,-0.14056781
2017-11-25 09:50:00,-0.6908244158458079,-0.057158463
2017-11-25 10:00:00,-0.6501125719348096,0.014746992
2017-11-25 10:10:00,-0.6153378727889145,0.083397344
2017-11-25 10:20:00,-0.5602072516875205,0.14101192
2017-11-25 10:30:00,-0.508469283556244,0.18227233
2017-11-25 10:40:00,-0.47369458441034884,0.20689186
2017-11-25 10:50:00,-0.4864170351156864,0.2174813
2017-11-25 11:00:00,-0.4261974345591167,0.22532679
2017-11-25 11:10:00,-0.362585178275899,0.23523255
2017-11-25 11:20:00,-0.36937048559439845,0.24609224
2017-11-25 11:30:00,-0.34562191066878256,0.25464597
2017-11-25 11:40:00,-0.281161491832168,0.26092842
2017-11-25 11:50:00,-0.3176325188413869,0.2649239
2017-11-25 12:00:00,-0.3227214982965626,0.272636
2017-11-25 12:10:00,-0.34307742025206195,0.28348416
2017-11-25 12:20:00,-0.3447737467371202,0.2953761
2017-11-25 12:30:00,-0.3320512960317832,0.30615443
2017-11-25 12:40:00,-0.33629211293356204,0.31341875
2017-11-25 12:50:00,-0.3286586430616657,0.31663036
2017-11-25 13:00:00,-0.2701353676118892,0.31924674
2017-11-25 13:10:00,-0.2870986365972711,0.31956875
2017-11-25 13:20:00,-0.25741291690655216,0.31744555
2017-11-25 13:30:00,-0.2285753611474946,0.31256434
2017-11-25 13:40:00,-0.2285753611474946,0.3056658
2017-11-25 13:50:00,-0.27946516534710975,0.29644716
2017-11-25 14:00:00,-0.2506276095880522,0.29086044
2017-11-25 14:10:00,-0.242145975784494,0.28472394
2017-11-25 14:20:00,-0.2396014853677734,0.27798435
2017-11-25 14:30:00,-0.24129781185283214,0.27135423
2017-11-25 14:40:00,-0.29049128956738857,0.26517263
2017-11-25 14:50:00,-0.35410354447234077,0.25954893
2017-11-25 15:00:00,-0.41262681992211725,0.2587811
2017-11-25 15:10:00,-0.36682599517767783,0.25803462
2017-11-25 15:20:00,-0.3736113024961778,0.25710553
2017-11-25 15:30:00,-0.4423125382345712,0.25588277
2017-11-25 15:40:00,-0.417715799377293,0.25512105
2017-11-25 15:50:00,-0.40244885825523485,0.25441885
2017-11-25 16:00:00,-0.44316070216623304,0.25644055
2017-11-25 16:10:00,-0.5127101004580229,0.2593941
2017-11-25 16:20:00,-0.46351662412173195,0.26282302
2017-11-25 16:30:00,-0.3863337545797803,0.26714793
2017-11-25 16:40:00,-0.281161491832168,0.2725532
2017-11-25 16:50:00,-0.2396014853677734,0.27977887
2017-11-25 17:00:00,-0.2039786222902164,0.28923592
2017-11-25 17:10:00,-0.013141857575359272,0.3045265
2017-11-25 17:20:00,0.37616514448278127,0.3299125
2017-11-25 17:30:00,0.644184778739589,0.37321225
2017-11-25 17:40:00,0.7154305048947031,0.44261387
2017-11-25 17:50:00,0.7213676482815407,0.5406659
2017-11-25 18:00:00,0.7230639747665993,0.6360095
2017-11-25 18:10:00,0.7663203090943183,0.7674847
2017-11-25 18:20:00,0.7366345894035993,0.91843885
2017-11-25 18:30:00,0.7374827533352606,1.059958
2017-11-25 18:40:00,0.7196713217964819,1.1707097
2017-11-25 18:50:00,0.7205194843498792,1.2445704
2017-11-25 19:00:00,0.7281529556000406,1.296372
2017-11-25 19:10:00,0.7264566291149819,1.3493123
2017-11-25 19:20:00,0.7128860144779829,1.3915852
2017-11-25 19:30:00,0.7061007071594829,1.4135715
2017-11-25 19:40:00,0.6653888632484852,1.4130585
2017-11-25 19:50:00,0.653514576474809,1.3987525
2017-11-25 20:00:00,0.6407921257694725,1.4043874
2017-11-25 20:10:00,0.6306141641025901,1.3998263
2017-11-25 20:20:00,0.6111064060787526,1.381014
2017-11-25 20:30:00,0.6043210987602536,1.3427113
2017-11-25 20:40:00,0.5746353804477997,1.2846311
2017-11-25 20:50:00,0.5169602689296846,1.2152036
2017-11-25 21:00:00,0.4838818962688482,1.1990658
2017-11-25 21:10:00,0.46691862728346684,1.1683784
2017-11-25 21:20:00,0.42451045826567535,1.1218039
2017-11-25 21:30:00,0.3931284120898977,1.0560862
2017-11-25 21:40:00,0.30237492791094617,0.9529455
2017-11-25 21:50:00,0.2930451301757261,0.8246583
2017-11-25 22:00:00,0.283715333818771,0.7739256
2017-11-25 22:10:00,0.22264756795227442,0.698811
2017-11-25 22:20:00,0.16666878429748402,0.5891409
2017-11-25 22:30:00,0.08524509785375257,0.44994146
2017-11-25 22:40:00,0.05640754209469601,0.2962458
2017-11-25 22:50:00,-0.05894268094153372,0.16357379
