,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-0.72950697
2017-11-24 23:50:00,-0.6899762519141456,-0.83656955
2017-11-25 00:00:00,-0.7917558603133754,-0.8648169
2017-11-25 00:10:00,-0.8672424033702688,-0.8551662
2017-11-25 00:20:00,-0.9613885405193368,-0.86219645
2017-11-25 00:30:00,-1.0182154881057894,-0.91832376
2017-11-25 00:40:00,-1.080131416525683,-0.9791379
2017-11-25 00:50:00,-1.1378065280437977,-1.0602396
2017-11-25 01:00:00,-1.1853036778950299,-1.1293598
2017-11-25 01:10:00,-1.2930204296810972,-1.1762588
2017-11-25 01:20:00,-1.3337322735920953,-1.2198874
2017-11-25 01:30:00,-1.3532400316159323,-1.2654907
2017-11-25 01:40:00,-1.345606561744036,-1.3189771
2017-11-25 01:50:00,-1.3498473786458154,-1.3686945
2017-11-25 02:00:00,-1.40073718284543,-1.3845443
2017-11-25 02:10:00,-1.4490824966283247,-1.395076
2017-11-25 02:20:00,-1.448234332696663,-1.4164301
2017-11-25 02:30:00,-1.482160869289161,-1.446239
2017-11-25 02:40:00,-1.4838571957742193,-1.4948599
2017-11-25 02:50:00,-1.4745273980389992,-1.5121554
2017-11-25 03:00:00,-1.5008204633813362,-1.4986594
2017-11-25 03:10:00,-1.5338988360421726,-1.4924889
2017-11-25 03:20:00,-1.532202509557114,-1.4947934
2017-11-25 03:30:00,-1.556799248414392,-1.5158786
2017-11-25 03:40:00,-1.5542547579976715,-1.53531
2017-11-25 03:50:00,-1.5440767977090546,-1.5437472
2017-11-25 04:00:00,-1.5517102675809509,-1.5219266
2017-11-25 04:10:00,-1.5381396529439515,-1.7145758
2017-11-25 04:20:00,-1.556799248414392,-1.7792332
2017-11-25 04:30:00,-1.5525584315126126,-1.661699
2017-11-25 04:40:00,-1.548317614610834,-1.4863019
2017-11-25 04:50:00,-1.556799248414392,-1.6092122
2017-11-25 05:00:00,-1.5542547579976715,-1.3961474
2017-11-25 05:10:00,-1.5067576081464393,-1.4914942
2017-11-25 05:20:00,-1.466045764235441,-1.3423915
2017-11-25 05:30:00,-1.3574808485177117,-1.3248999
2017-11-25 05:40:00,-1.3676588101845937,-1.226512
2017-11-25 05:50:00,-1.3990408549821063,-1.1329808
2017-11-25 06:00:00,-1.438056372408046,-1.0412644
2017-11-25 06:10:00,-1.4533233135301036,-0.99695766
2017-11-25 06:20:00,-1.49318699350944,-0.97341156
2017-11-25 06:30:00,-1.5746106799531703,-0.95576143
2017-11-25 06:40:00,-1.6992906993463546,-0.9292762
2017-11-25 06:50:00,-1.8451748046266996,-0.9017855
2017-11-25 07:00:00,-1.8129445958975252,-0.86661124
2017-11-25 07:10:00,-1.7612066277662481,-0.85025954
2017-11-25 07:20:00,-1.7230392742719705,-0.83630705
2017-11-25 07:30:00,-1.7221911117185742,-0.82780313
2017-11-25 07:40:00,-1.687416412572679,-0.8055048
2017-11-25 07:50:00,-1.6746939604890765,-0.77890015
2017-11-25 08:00:00,-1.5712180256047878,-0.74423087
2017-11-25 08:10:00,-1.4796163788724406,-0.7112316
2017-11-25 08:20:00,-1.3422139073956536,-0.68787587
2017-11-25 08:30:00,-1.2412824629280856,-0.65986466
2017-11-25 08:40:00,-1.2183820505558662,-0.6289904
2017-11-25 08:50:00,-1.1395028545288564,-0.598459
2017-11-25 09:00:00,-1.0614718210552423,-0.54972935
2017-11-25 09:10:00,-1.00464487346879,-0.4874059
2017-11-25 09:20:00,-0.9384881281471172,-0.43098152
2017-11-25 09:30:00,-0.8570644417033864,-0.34739578
2017-11-25 09:40:00,-0.7493476899173189,-0.30749726
2017-11-25 09:50:00,-0.6908244158458079,-0.2860502
2017-11-25 10:00:00,-0.6501125719348096,-0.24503285
2017-11-25 10:10:00,-0.6153378727889145,-0.23778486
2017-11-25 10:20:00,-0.5602072516875205,-0.25814313
