,Originales,Predichos
2017-11-24 23:10:00,-0.3083027211061668,-0.2714045
2017-11-24 23:20:00,-0.4032970221868966,-0.37457648
2017-11-24 23:30:00,-0.5254325525416259,-0.47788045
2017-11-24 23:40:00,-0.6161860353423114,-0.6140994
2017-11-24 23:50:00,-0.6899762519141456,-0.6939061
2017-11-25 00:00:00,-0.7917558603133754,-0.74921745
2017-11-25 00:10:00,-0.8672424033702688,-0.8602357
2017-11-25 00:20:00,-0.9613885405193368,-0.91905755
2017-11-25 00:30:00,-1.0182154881057894,-1.0249184
2017-11-25 00:40:00,-1.080131416525683,-1.0545624
2017-11-25 00:50:00,-1.1378065280437977,-1.1163727
2017-11-25 01:00:00,-1.18530367789503,-1.183898
2017-11-25 01:10:00,-1.2930204296810972,-1.2078865
2017-11-25 01:20:00,-1.3337322735920951,-1.3331712
2017-11-25 01:30:00,-1.3532400316159323,-1.3532596
2017-11-25 01:40:00,-1.345606561744036,-1.3623626
2017-11-25 01:50:00,-1.3498473786458154,-1.3586662
2017-11-25 02:00:00,-1.40073718284543,-1.3787034
2017-11-25 02:10:00,-1.449082496628325,-1.4325721
2017-11-25 02:20:00,-1.448234332696663,-1.4690311
2017-11-25 02:30:00,-1.482160869289161,-1.4533786
2017-11-25 02:40:00,-1.4838571957742193,-1.4870082
2017-11-25 02:50:00,-1.4745273980389992,-1.4731996
2017-11-25 03:00:00,-1.5008204633813362,-1.4646517
2017-11-25 03:10:00,-1.5338988360421726,-1.493614
2017-11-25 03:20:00,-1.532202509557114,-1.514575
2017-11-25 03:30:00,-1.556799248414392,-1.5011737
2017-11-25 03:40:00,-1.5542547579976715,-1.5342269
2017-11-25 03:50:00,-1.5440767977090546,-1.514713
2017-11-25 04:00:00,-1.5517102675809509,-1.5042204
2017-11-25 04:10:00,-1.5381396529439515,-1.513181
2017-11-25 04:20:00,-1.556799248414392,-1.4908519
2017-11-25 04:30:00,-1.5525584315126126,-1.5167582
2017-11-25 04:40:00,-1.548317614610834,-1.5048018
2017-11-25 04:50:00,-1.556799248414392,-1.4982265
2017-11-25 05:00:00,-1.5542547579976715,-1.4924936
2017-11-25 05:10:00,-1.506757608146439,-1.4922566
2017-11-25 05:20:00,-1.466045764235441,-1.4422623
2017-11-25 05:30:00,-1.3574808485177117,-1.4083345
2017-11-25 05:40:00,-1.3676588101845937,-1.2703006
2017-11-25 05:50:00,-1.3990408549821065,-1.3348734
2017-11-25 06:00:00,-1.438056372408046,-1.3618823
2017-11-25 06:10:00,-1.4533233135301036,-1.4067342
2017-11-25 06:20:00,-1.49318699350944,-1.4150765
2017-11-25 06:30:00,-1.5746106799531705,-1.4760976
2017-11-25 06:40:00,-1.6992906993463546,-1.5671755
2017-11-25 06:50:00,-1.8451748046267,-1.7068989
2017-11-25 07:00:00,-1.8129445958975248,-1.8335737
