,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-1.0696809
2017-11-24 23:50:00,-0.6899762519141456,-1.1298242
2017-11-25 00:00:00,-0.7917558603133754,-1.1728474
2017-11-25 00:10:00,-0.8672424033702688,-1.2069299
2017-11-25 00:20:00,-0.9613885405193368,-1.2331867
2017-11-25 00:30:00,-1.0182154881057894,-1.2536236
2017-11-25 00:40:00,-1.080131416525683,-1.2694242
2017-11-25 00:50:00,-1.1378065280437977,-1.2837675
2017-11-25 01:00:00,-1.18530367789503,-1.2964668
2017-11-25 01:10:00,-1.2930204296810972,-1.3081366
2017-11-25 01:20:00,-1.3337322735920951,-1.3193108
2017-11-25 01:30:00,-1.3532400316159323,-1.3311927
2017-11-25 01:40:00,-1.345606561744036,-1.3430743
2017-11-25 01:50:00,-1.3498473786458154,-1.3559729
2017-11-25 02:00:00,-1.40073718284543,-1.3667533
2017-11-25 02:10:00,-1.449082496628325,-1.3767731
2017-11-25 02:20:00,-1.448234332696663,-1.385813
2017-11-25 02:30:00,-1.482160869289161,-1.3957407
2017-11-25 02:40:00,-1.4838571957742193,-1.4040303
2017-11-25 02:50:00,-1.4745273980389992,-1.4109453
2017-11-25 03:00:00,-1.5008204633813362,-1.4151177
2017-11-25 03:10:00,-1.5338988360421726,-1.4196534
2017-11-25 03:20:00,-1.532202509557114,-1.4220313
2017-11-25 03:30:00,-1.556799248414392,-1.421952
2017-11-25 03:40:00,-1.5542547579976715,-1.4208723
2017-11-25 03:50:00,-1.5440767977090546,-1.4179897
2017-11-25 04:00:00,-1.5517102675809509,-1.410194
2017-11-25 04:10:00,-1.5381396529439515,-1.3924133
2017-11-25 04:20:00,-1.556799248414392,-1.3595722
2017-11-25 04:30:00,-1.5525584315126126,-1.3027139
2017-11-25 04:40:00,-1.548317614610834,-1.2302984
2017-11-25 04:50:00,-1.556799248414392,-1.1514213
2017-11-25 05:00:00,-1.5542547579976715,-1.0574563
2017-11-25 05:10:00,-1.506757608146439,-0.9590888
2017-11-25 05:20:00,-1.466045764235441,-0.9316697
2017-11-25 05:30:00,-1.3574808485177117,-1.0276065
2017-11-25 05:40:00,-1.3676588101845937,-1.2150965
2017-11-25 05:50:00,-1.3990408549821065,-1.3757753
2017-11-25 06:00:00,-1.438056372408046,-1.396271
2017-11-25 06:10:00,-1.4533233135301036,-1.410138
2017-11-25 06:20:00,-1.49318699350944,-1.417565
2017-11-25 06:30:00,-1.5746106799531705,-1.419287
2017-11-25 06:40:00,-1.6992906993463546,-1.4177598
2017-11-25 06:50:00,-1.8451748046267,-1.4166274
2017-11-25 07:00:00,-1.8129445958975248,-1.4159487
2017-11-25 07:10:00,-1.761206627766248,-1.4075828
2017-11-25 07:20:00,-1.7230392742719705,-1.3964624
2017-11-25 07:30:00,-1.7221911117185742,-1.3791028
2017-11-25 07:40:00,-1.687416412572679,-1.3626187
2017-11-25 07:50:00,-1.6746939604890765,-1.3446612
2017-11-25 08:00:00,-1.5712180256047878,-1.3269854
2017-11-25 08:10:00,-1.4796163788724406,-1.3000664
2017-11-25 08:20:00,-1.3422139073956536,-1.2725706
2017-11-25 08:30:00,-1.2412824629280856,-1.2401552
2017-11-25 08:40:00,-1.2183820505558662,-1.2019773
2017-11-25 08:50:00,-1.1395028545288564,-1.1670299
2017-11-25 09:00:00,-1.0614718210552423,-1.1475332
2017-11-25 09:10:00,-1.00464487346879,-1.1163771
2017-11-25 09:20:00,-0.9384881281471172,-1.082711
2017-11-25 09:30:00,-0.8570644417033864,-1.034935
2017-11-25 09:40:00,-0.7493476899173189,-0.9666689
2017-11-25 09:50:00,-0.6908244158458079,-0.8793929
2017-11-25 10:00:00,-0.6501125719348096,-0.80913824
2017-11-25 10:10:00,-0.6153378727889145,-0.73910797
2017-11-25 10:20:00,-0.5602072516875205,-0.6681113
2017-11-25 10:30:00,-0.508469283556244,-0.6048824
2017-11-25 10:40:00,-0.4736945844103488,-0.5575867
2017-11-25 10:50:00,-0.4864170351156864,-0.50458384
2017-11-25 11:00:00,-0.4261974345591167,-0.48508677
2017-11-25 11:10:00,-0.362585178275899,-0.46923187
2017-11-25 11:20:00,-0.3693704855943984,-0.45294607
2017-11-25 11:30:00,-0.3456219106687825,-0.4360012
2017-11-25 11:40:00,-0.281161491832168,-0.4238363
2017-11-25 11:50:00,-0.3176325188413869,-0.4332441
2017-11-25 12:00:00,-0.3227214982965626,-0.45445636
2017-11-25 12:10:00,-0.3430774202520619,-0.46103933
2017-11-25 12:20:00,-0.3447737467371202,-0.46715578
2017-11-25 12:30:00,-0.3320512960317832,-0.4661785
2017-11-25 12:40:00,-0.336292112933562,-0.4497281
2017-11-25 12:50:00,-0.3286586430616657,-0.39332992
2017-11-25 13:00:00,-0.2701353676118892,-0.36844516
2017-11-25 13:10:00,-0.2870986365972711,-0.35073268
2017-11-25 13:20:00,-0.2574129169065521,-0.33639267
2017-11-25 13:30:00,-0.2285753611474946,-0.317335
2017-11-25 13:40:00,-0.2285753611474946,-0.3016617
2017-11-25 13:50:00,-0.2794651653471097,-0.28881854
2017-11-25 14:00:00,-0.2506276095880522,-0.29248378
2017-11-25 14:10:00,-0.242145975784494,-0.299331
2017-11-25 14:20:00,-0.2396014853677734,-0.31652942
2017-11-25 14:30:00,-0.2412978118528321,-0.33908644
2017-11-25 14:40:00,-0.2904912895673885,-0.3521967
2017-11-25 14:50:00,-0.3541035444723407,-0.36316404
2017-11-25 15:00:00,-0.4126268199221172,-0.37986004
2017-11-25 15:10:00,-0.3668259951776778,-0.39879403
2017-11-25 15:20:00,-0.3736113024961778,-0.41809157
2017-11-25 15:30:00,-0.4423125382345712,-0.43479225
2017-11-25 15:40:00,-0.417715799377293,-0.4488202
2017-11-25 15:50:00,-0.4024488582552348,-0.45313287
2017-11-25 16:00:00,-0.443160702166233,-0.46157998
2017-11-25 16:10:00,-0.5127101004580229,-0.4673724
2017-11-25 16:20:00,-0.4635166241217319,-0.46626827
2017-11-25 16:30:00,-0.3863337545797803,-0.4477112
