,Originales,Predichos
2017-11-24 23:40:00,-0.6161860353423114,-1.0128936
2017-11-24 23:50:00,-0.6899762519141456,-1.0526047
2017-11-25 00:00:00,-0.7917558603133754,-1.1054713
2017-11-25 00:10:00,-0.8672424033702688,-1.1251967
2017-11-25 00:20:00,-0.9613885405193368,-1.1253155
2017-11-25 00:30:00,-1.0182154881057894,-1.1202497
2017-11-25 00:40:00,-1.080131416525683,-1.125684
2017-11-25 00:50:00,-1.1378065280437977,-1.1459217
2017-11-25 01:00:00,-1.18530367789503,-1.1847882
2017-11-25 01:10:00,-1.2930204296810972,-1.1995442
2017-11-25 01:20:00,-1.3337322735920951,-1.1970487
2017-11-25 01:30:00,-1.3532400316159323,-1.2169746
2017-11-25 01:40:00,-1.345606561744036,-1.2669525
2017-11-25 01:50:00,-1.3498473786458154,-1.3060284
2017-11-25 02:00:00,-1.40073718284543,-1.3329469
2017-11-25 02:10:00,-1.449082496628325,-1.3444912
2017-11-25 02:20:00,-1.448234332696663,-1.3532119
2017-11-25 02:30:00,-1.482160869289161,-1.3551892
2017-11-25 02:40:00,-1.4838571957742193,-1.3603506
2017-11-25 02:50:00,-1.4745273980389992,-1.3633986
2017-11-25 03:00:00,-1.5008204633813362,-1.3703607
2017-11-25 03:10:00,-1.5338988360421726,-1.374393
2017-11-25 03:20:00,-1.532202509557114,-1.3762776
2017-11-25 03:30:00,-1.556799248414392,-1.3750634
2017-11-25 03:40:00,-1.5542547579976715,-1.3737259
2017-11-25 03:50:00,-1.5440767977090546,-1.3741118
2017-11-25 04:00:00,-1.5517102675809509,-1.3896203
2017-11-25 04:10:00,-1.5381396529439515,-1.4178629
2017-11-25 04:20:00,-1.556799248414392,-1.3514113
2017-11-25 04:30:00,-1.5525584315126126,-1.1661799
2017-11-25 04:40:00,-1.548317614610834,-1.304583
2017-11-25 04:50:00,-1.556799248414392,-1.3245223
2017-11-25 05:00:00,-1.5542547579976715,-1.2860012
2017-11-25 05:10:00,-1.506757608146439,-1.1807158
2017-11-25 05:20:00,-1.466045764235441,-1.2050383
2017-11-25 05:30:00,-1.3574808485177117,-1.2991806
2017-11-25 05:40:00,-1.3676588101845937,-1.3530688
2017-11-25 05:50:00,-1.3990408549821065,-1.558218
2017-11-25 06:00:00,-1.438056372408046,-1.5493257
2017-11-25 06:10:00,-1.4533233135301036,-1.5420227
2017-11-25 06:20:00,-1.49318699350944,-1.5373242
2017-11-25 06:30:00,-1.5746106799531705,-1.5309277
2017-11-25 06:40:00,-1.6992906993463546,-1.5198811
2017-11-25 06:50:00,-1.8451748046267,-1.4983225
2017-11-25 07:00:00,-1.8129445958975248,-1.4682757
2017-11-25 07:10:00,-1.761206627766248,-1.4135721
2017-11-25 07:20:00,-1.7230392742719705,-1.3489276
2017-11-25 07:30:00,-1.7221911117185742,-1.2564591
2017-11-25 07:40:00,-1.687416412572679,-1.14177
2017-11-25 07:50:00,-1.6746939604890765,-1.0556828
2017-11-25 08:00:00,-1.5712180256047878,-0.9792774
2017-11-25 08:10:00,-1.4796163788724406,-0.8595304
2017-11-25 08:20:00,-1.3422139073956536,-0.82192606
2017-11-25 08:30:00,-1.2412824629280856,-0.78794163
2017-11-25 08:40:00,-1.2183820505558662,-0.7136479
2017-11-25 08:50:00,-1.1395028545288564,-0.63861805
2017-11-25 09:00:00,-1.0614718210552423,-0.6401981
2017-11-25 09:10:00,-1.00464487346879,-0.61122334
2017-11-25 09:20:00,-0.9384881281471172,-0.6162198
2017-11-25 09:30:00,-0.8570644417033864,-0.57769775
2017-11-25 09:40:00,-0.7493476899173189,-0.5621623
2017-11-25 09:50:00,-0.6908244158458079,-0.49320757
2017-11-25 10:00:00,-0.6501125719348096,-0.3912906
2017-11-25 10:10:00,-0.6153378727889145,-0.33459675
2017-11-25 10:20:00,-0.5602072516875205,-0.253704
2017-11-25 10:30:00,-0.508469283556244,-0.27490568
2017-11-25 10:40:00,-0.4736945844103488,-0.20207135
2017-11-25 10:50:00,-0.4864170351156864,-0.17158769
2017-11-25 11:00:00,-0.4261974345591167,-0.119465634
2017-11-25 11:10:00,-0.362585178275899,-0.119432315
2017-11-25 11:20:00,-0.3693704855943984,-0.11668126
2017-11-25 11:30:00,-0.3456219106687825,-0.14573728
2017-11-25 11:40:00,-0.281161491832168,-0.16497068
2017-11-25 11:50:00,-0.3176325188413869,-0.18156807
2017-11-25 12:00:00,-0.3227214982965626,-0.17304985
2017-11-25 12:10:00,-0.3430774202520619,-0.15268765
2017-11-25 12:20:00,-0.3447737467371202,-0.14114891
2017-11-25 12:30:00,-0.3320512960317832,-0.1608039
2017-11-25 12:40:00,-0.336292112933562,-0.17337297
2017-11-25 12:50:00,-0.3286586430616657,-0.16388921
2017-11-25 13:00:00,-0.2701353676118892,-0.16523229
2017-11-25 13:10:00,-0.2870986365972711,-0.18729691
2017-11-25 13:20:00,-0.2574129169065521,-0.20430408
2017-11-25 13:30:00,-0.2285753611474946,-0.22675656
2017-11-25 13:40:00,-0.2285753611474946,-0.23748325
2017-11-25 13:50:00,-0.2794651653471097,-0.22286229
2017-11-25 14:00:00,-0.2506276095880522,-0.21001486
2017-11-25 14:10:00,-0.242145975784494,-0.15945713
2017-11-25 14:20:00,-0.2396014853677734,-0.16220997
2017-11-25 14:30:00,-0.2412978118528321,-0.18274401
2017-11-25 14:40:00,-0.2904912895673885,-0.18508928
2017-11-25 14:50:00,-0.3541035444723407,-0.17839943
2017-11-25 15:00:00,-0.4126268199221172,-0.16409151
2017-11-25 15:10:00,-0.3668259951776778,-0.16599183
2017-11-25 15:20:00,-0.3736113024961778,-0.1846237
2017-11-25 15:30:00,-0.4423125382345712,-0.19594441
2017-11-25 15:40:00,-0.417715799377293,-0.22645156
2017-11-25 15:50:00,-0.4024488582552348,-0.23679148
2017-11-25 16:00:00,-0.443160702166233,-0.2522357
2017-11-25 16:10:00,-0.5127101004580229,-0.24582891
2017-11-25 16:20:00,-0.4635166241217319,-0.25414336
2017-11-25 16:30:00,-0.3863337545797803,-0.27854073
2017-11-25 16:40:00,-0.281161491832168,-0.29175305
2017-11-25 16:50:00,-0.2396014853677734,-0.27295893
2017-11-25 17:00:00,-0.2039786222902164,-0.2240194
2017-11-25 17:10:00,-0.0131418575753592,-0.13314329
2017-11-25 17:20:00,0.3761651444827812,-0.027356371
2017-11-25 17:30:00,0.644184778739589,0.13973607
2017-11-25 17:40:00,0.7154305048947031,0.3420725
2017-11-25 17:50:00,0.7213676482815407,0.5649583
2017-11-25 18:00:00,0.7230639747665993,0.7583483
2017-11-25 18:10:00,0.7663203090943183,0.8467333
2017-11-25 18:20:00,0.7366345894035993,0.90539414
2017-11-25 18:30:00,0.7374827533352606,0.9455549
2017-11-25 18:40:00,0.7196713217964819,0.97364503
2017-11-25 18:50:00,0.7205194843498792,0.9984152
2017-11-25 19:00:00,0.7281529556000406,1.0330194
2017-11-25 19:10:00,0.7264566291149819,1.046522
2017-11-25 19:20:00,0.7128860144779829,1.0307724
2017-11-25 19:30:00,0.7061007071594829,1.0165758
2017-11-25 19:40:00,0.6653888632484852,1.0072713
2017-11-25 19:50:00,0.653514576474809,0.9885301
2017-11-25 20:00:00,0.6407921257694725,0.97328097
2017-11-25 20:10:00,0.6306141641025901,0.9763529
2017-11-25 20:20:00,0.6111064060787526,0.96570677
2017-11-25 20:30:00,0.6043210987602536,0.9308658
2017-11-25 20:40:00,0.5746353804477997,0.88680977
2017-11-25 20:50:00,0.5169602689296846,0.83664244
2017-11-25 21:00:00,0.4838818962688482,0.79045564
2017-11-25 21:10:00,0.4669186272834668,0.6792055
2017-11-25 21:20:00,0.4245104582656753,0.5850237
2017-11-25 21:30:00,0.3931284120898977,0.5319252
2017-11-25 21:40:00,0.3023749279109461,0.47609323
2017-11-25 21:50:00,0.2930451301757261,0.43002087
2017-11-25 22:00:00,0.283715333818771,0.35901338
2017-11-25 22:10:00,0.2226475679522744,0.2480432
2017-11-25 22:20:00,0.166668784297484,0.0648943
2017-11-25 22:30:00,0.0852450978537525,-0.13337225
2017-11-25 22:40:00,0.056407542094696,-0.23743227
2017-11-25 22:50:00,-0.0589426809415337,-0.30641967
2017-11-25 23:00:00,-0.1530888180906017,-0.45081592
2017-11-25 23:10:00,-0.2599574073232722,-0.688987
2017-11-25 23:20:00,-0.3405329298353414,-0.82109374
2017-11-25 23:30:00,-0.488961525532407,-0.8691917
2017-11-25 23:40:00,-0.5686888854910788,-0.94850755
2017-11-25 23:50:00,-0.6501125719348096,-0.995424
