,Originales,Predichos
2017-11-25 01:30:00,-1.35324,-1.158689
2017-11-25 01:40:00,-1.3456066,-1.1988444
2017-11-25 01:50:00,-1.3498474,-1.2287192
2017-11-25 02:00:00,-1.4007372,-1.2333452
2017-11-25 02:10:00,-1.4490825,-1.1821262
2017-11-25 02:20:00,-1.4482343,-1.0999898
2017-11-25 02:30:00,-1.4821609,-1.0059763
2017-11-25 02:40:00,-1.4838572,-0.90127164
2017-11-25 02:50:00,-1.4745274,-0.87469274
2017-11-25 03:00:00,-1.5008205,-0.8494706
2017-11-25 03:10:00,-1.5338988,-0.8159163
2017-11-25 03:20:00,-1.5322025,-0.7419747
2017-11-25 03:30:00,-1.5567993,-0.7209748
2017-11-25 03:40:00,-1.5542548,-0.6422314
2017-11-25 03:50:00,-1.5440768,-0.6041052
2017-11-25 04:00:00,-1.5517102,-0.8272759
2017-11-25 04:10:00,-1.5381397,-0.8573591
2017-11-25 04:20:00,-1.5567993,-0.86244494
2017-11-25 04:30:00,-1.5525584,-0.9199541
2017-11-25 04:40:00,-1.5483177,-1.0771842
2017-11-25 04:50:00,-1.5567993,-1.2128246
2017-11-25 05:00:00,-1.5542548,-1.3023351
2017-11-25 05:10:00,-1.5067576,-1.3553464
2017-11-25 05:20:00,-1.4660457,-1.389668
2017-11-25 05:30:00,-1.3574809,-1.4270476
2017-11-25 05:40:00,-1.3676589,-1.4271376
2017-11-25 05:50:00,-1.3990408,-1.4149448
2017-11-25 06:00:00,-1.4380563,-1.4118538
2017-11-25 06:10:00,-1.4533234,-1.3853197
2017-11-25 06:20:00,-1.493187,-1.3718052
2017-11-25 06:30:00,-1.5746107,-1.349615
2017-11-25 06:40:00,-1.6992908,-1.3213958
2017-11-25 06:50:00,-1.8451748,-1.2970454
2017-11-25 07:00:00,-1.8129447,-1.2895429
2017-11-25 07:10:00,-1.7612066,-1.2376232
2017-11-25 07:20:00,-1.7230393,-1.203233
2017-11-25 07:30:00,-1.7221911,-1.1556268
2017-11-25 07:40:00,-1.6874164,-1.082446
2017-11-25 07:50:00,-1.674694,-1.004991
2017-11-25 08:00:00,-1.571218,-1.0069747
2017-11-25 08:10:00,-1.4796164,-0.8937542
2017-11-25 08:20:00,-1.3422139,-0.82466245
2017-11-25 08:30:00,-1.2412825,-0.7624758
2017-11-25 08:40:00,-1.218382,-0.65674543
2017-11-25 08:50:00,-1.1395029,-0.5464209
2017-11-25 09:00:00,-1.0614718,-0.5083886
2017-11-25 09:10:00,-1.0046449,-0.4099002
2017-11-25 09:20:00,-0.9384881,-0.33140612
2017-11-25 09:30:00,-0.8570644,-0.29736412
2017-11-25 09:40:00,-0.7493477,-0.21024702
2017-11-25 09:50:00,-0.6908244,-0.07294837
2017-11-25 10:00:00,-0.65011257,-0.051078454
2017-11-25 10:10:00,-0.61533785,0.029835694
2017-11-25 10:20:00,-0.56020725,0.17172736
2017-11-25 10:30:00,-0.5084693,0.14956442
2017-11-25 10:40:00,-0.4736946,0.26179153
2017-11-25 10:50:00,-0.48641703,0.3072629
2017-11-25 11:00:00,-0.42619744,0.2864843
2017-11-25 11:10:00,-0.3625852,0.27271724
2017-11-25 11:20:00,-0.3693705,0.26350528
2017-11-25 11:30:00,-0.3456219,0.2522565
2017-11-25 11:40:00,-0.2811615,0.23890115
2017-11-25 11:50:00,-0.31763253,0.2581749
2017-11-25 12:00:00,-0.3227215,0.3332346
2017-11-25 12:10:00,-0.34307742,0.40037102
2017-11-25 12:20:00,-0.34477374,0.49224728
2017-11-25 12:30:00,-0.3320513,0.57888484
2017-11-25 12:40:00,-0.33629212,0.61589724
2017-11-25 12:50:00,-0.32865864,0.61872417
2017-11-25 13:00:00,-0.27013537,0.60591274
2017-11-25 13:10:00,-0.28709865,0.5745633
2017-11-25 13:20:00,-0.2574129,0.5657904
2017-11-25 13:30:00,-0.22857536,0.5300322
2017-11-25 13:40:00,-0.22857536,0.5038354
2017-11-25 13:50:00,-0.27946517,0.50491554
2017-11-25 14:00:00,-0.2506276,0.5018186
2017-11-25 14:10:00,-0.24214597,0.41003108
2017-11-25 14:20:00,-0.23960148,0.27452016
2017-11-25 14:30:00,-0.24129781,0.16445339
2017-11-25 14:40:00,-0.29049128,0.18138686
2017-11-25 14:50:00,-0.35410354,0.12503427
2017-11-25 15:00:00,-0.41262683,0.03914074
2017-11-25 15:10:00,-0.366826,-0.029744133
2017-11-25 15:20:00,-0.3736113,-0.056502454
2017-11-25 15:30:00,-0.44231254,-0.10516341
2017-11-25 15:40:00,-0.4177158,-0.12010211
2017-11-25 15:50:00,-0.40244886,-0.13335888
2017-11-25 16:00:00,-0.4431607,-0.12797454
2017-11-25 16:10:00,-0.5127101,-0.13042255
2017-11-25 16:20:00,-0.46351662,-0.11658619
2017-11-25 16:30:00,-0.38633376,-0.1098557
2017-11-25 16:40:00,-0.2811615,-0.097081706
2017-11-25 16:50:00,-0.23960148,-0.079153225
2017-11-25 17:00:00,-0.20397863,-0.07830027
2017-11-25 17:10:00,-0.013141857,-0.071363896
2017-11-25 17:20:00,0.37616515,-0.06641327
2017-11-25 17:30:00,0.64418477,-0.07201053
2017-11-25 17:40:00,0.7154305,-0.06401807
2017-11-25 17:50:00,0.72136766,-0.031839117
2017-11-25 18:00:00,0.72306395,-0.046940118
2017-11-25 18:10:00,0.7663203,0.002221249
2017-11-25 18:20:00,0.7366346,0.073953584
2017-11-25 18:30:00,0.7374827,0.21987711
2017-11-25 18:40:00,0.7196713,0.48897338
2017-11-25 18:50:00,0.7205195,0.91763747
2017-11-25 19:00:00,0.72815293,1.0699915
