,Originales,Predichos
2017-11-23 22:50:00,-0.1581777989240429,-0.15981262299959534
2017-11-23 23:00:00,-0.3116953740762838,-0.2888399068898154
2017-11-23 23:10:00,-0.391422734034956,-0.4549734456172668
2017-11-23 23:20:00,-0.4669092770918494,-0.4990112839841069
2017-11-23 23:30:00,-0.5610554142409174,-0.5712430946629561
2017-11-23 23:40:00,-0.6738611468604261,-0.6602478355520093
2017-11-23 23:50:00,-0.765462794971039,-0.7623022592596093
2017-11-24 00:00:00,-0.8579126056350482,-0.833492861864698
2017-11-24 00:10:00,-0.911346900251384,-0.911814513293664
2017-11-24 00:20:00,-0.9766554816413944,-0.9478106645237937
2017-11-24 00:30:00,-1.014822835135672,-1.02551549126994
2017-11-24 00:40:00,-1.0580791680851254,-1.05484632740347
2017-11-24 00:50:00,-1.1123616252548576,-1.0980544270260482
2017-11-24 01:00:00,-1.1844555153416334,-1.1488043317431598
2017-11-24 01:10:00,-1.2582457305352026,-1.223592488507274
2017-11-24 01:20:00,-1.2964130840294796,-1.29479330359921
2017-11-24 01:30:00,-1.3031983913479797,-1.3228053768727552
2017-11-24 01:40:00,-1.3430620713273156,-1.32492581312829
2017-11-24 01:50:00,-1.346454724297433,-1.3705504261290868
2017-11-24 02:00:00,-1.4168522865208846,-1.3624185282665957
2017-11-24 02:10:00,-1.448234332696663,-1.4430172239636057
2017-11-24 02:20:00,-1.430422901157884,-1.4624359976193417
2017-11-24 02:30:00,-1.449930659181721,-1.4473809510682403
2017-11-24 02:40:00,-1.4473861687650005,-1.4675578111734522
2017-11-24 02:50:00,-1.4957314839261604,-1.462888737190164
2017-11-24 03:00:00,-1.5279616926553343,-1.5084704390174464
2017-11-24 03:10:00,-1.505909444214777,-1.5241232253546908
2017-11-24 03:20:00,-1.5279616926553343,-1.5084803896800243
2017-11-24 03:30:00,-1.5890294571435666,-1.525425886555616
2017-11-24 03:40:00,-1.5551029219293333,-1.554131456163658
2017-11-24 03:50:00,-1.5576474109677885,-1.5368692536021316
2017-11-24 04:00:00,-1.5338988360421726,-1.5406520356185673
2017-11-24 04:10:00,-1.5279616926553343,-1.524474831068354
2017-11-24 04:20:00,-1.510998425048218,-1.523896164903187
2017-11-24 04:30:00,-1.5517102675809509,-1.509641232310433
2017-11-24 04:40:00,-1.5194800588517765,-1.5358384522906576
2017-11-24 04:50:00,-1.522024549268497,-1.512447899509195
2017-11-24 05:00:00,-1.4804645414258368,-1.5176422226731308
2017-11-24 05:10:00,-1.4711347450688823,-1.4824106010224611
2017-11-24 05:20:00,-1.4287265746728253,-1.4795992930256703
2017-11-24 05:30:00,-1.3354286000771542,-1.434092466737877
2017-11-24 05:40:00,-1.3549363581009912,-1.3348603855702348
2017-11-24 05:50:00,-1.3685069727379906,-1.371111558523067
2017-11-24 06:00:00,-1.3786849344048726,-1.3757749777769868
2017-11-24 06:10:00,-1.3702032992230488,-1.3893143344457797
2017-11-24 06:20:00,-1.4049779997472094,-1.3748707287195223
2017-11-24 06:30:00,-1.4753755619706612,-1.418501762026675
2017-11-24 06:40:00,-1.586484966726846,-1.4800568908806429
2017-11-24 06:50:00,-1.6433119156915637,-1.5481630719409827
2017-11-24 07:00:00,-1.586484966726846,-1.5675080113364883
2017-11-24 07:10:00,-1.505909444214777,-1.5496304462445267
2017-11-24 07:20:00,-1.455867803946824,-1.5031197102736573
2017-11-24 07:30:00,-1.511846587601615,-1.4610539934350733
2017-11-24 07:40:00,-1.5703698630513916,-1.5093830952460445
2017-11-24 07:50:00,-1.558495574899451,-1.5427352502802176
2017-11-24 08:00:00,-1.4991241368962775,-1.5360951631070838
2017-11-24 08:10:00,-1.395648202011989,-1.496000136971956
2017-11-24 08:20:00,-1.3218579854401549,-1.394669299083122
2017-11-24 08:30:00,-1.199722456463691,-1.318984700075427
2017-11-24 08:40:00,-1.144591835362297,-1.173067890930902
2017-11-24 08:50:00,-1.10896897228474,-1.1307930320357085
2017-11-24 09:00:00,-1.0741942731388454,-1.0977800425206026
2017-11-24 09:10:00,-0.9995558940136144,-1.064918593012359
2017-11-24 09:20:00,-0.9121950628047804,-0.9745381030224188
2017-11-24 09:30:00,-0.8384048476112111,-0.8713617718666852
2017-11-24 09:40:00,-0.803630147087051,-0.7845751318134075
2017-11-24 09:50:00,-0.8129599448222711,-0.7496472616627572
2017-11-24 10:00:00,-0.6993060496493662,-0.7704565903685043
2017-11-24 10:10:00,-0.6043117485686358,-0.6117512968297019
2017-11-24 10:20:00,-0.5390031658003598,-0.5242387810813967
2017-11-24 10:30:00,-0.5330660224135222,-0.4706027338590043
2017-11-24 10:40:00,-0.5101656100413022,-0.48311818907108817
2017-11-24 10:50:00,-0.4872651990473483,-0.44936180080743837
2017-11-24 11:00:00,-0.4677574410235112,-0.4309484912300666
2017-11-24 11:10:00,-0.410930492058793,-0.4142511295765694
2017-11-24 11:20:00,-0.3566480348890614,-0.3459817497878802
2017-11-24 11:30:00,-0.3083027211061668,-0.29946842470207
2017-11-24 11:40:00,-0.3227214982965626,-0.25704784179377016
2017-11-24 11:50:00,-0.3897264075498978,-0.29283716645167945
2017-11-24 12:00:00,-0.4397680478178505,-0.38343015047050677
2017-11-24 12:10:00,-0.4245011066957924,-0.4382815325869085
2017-11-24 12:20:00,-0.4592758072199531,-0.39275427932961593
2017-11-24 12:30:00,-0.4686056035769076,-0.44842271452147586
2017-11-24 12:40:00,-0.4643647866751288,-0.43769756239762103
2017-11-24 12:50:00,-0.4457051925829536,-0.4292480526152006
2017-11-24 13:00:00,-0.4380717213327918,-0.4010618267836299
2017-11-24 13:10:00,-0.3846374267164565,-0.40591031525967625
2017-11-24 13:20:00,-0.332899459963445,-0.335731620999119
2017-11-24 13:30:00,-0.3990562052851178,-0.2922444506279117
2017-11-24 13:40:00,-0.3820929376780014,-0.3935762316490615
2017-11-24 13:50:00,-0.4448570286512918,-0.3379115706534962
2017-11-24 14:00:00,-0.4474015190680119,-0.434650917992373
2017-11-24 14:10:00,-0.4652129506067907,-0.41411154139443396
2017-11-24 14:20:00,-0.4372235587793954,-0.439619898351541
2017-11-24 14:30:00,-0.4346790683626748,-0.3900409617627073
2017-11-24 14:40:00,-0.4719982579252901,-0.39896895187696213
2017-11-24 14:50:00,-0.4448570286512918,-0.44521148748192985
2017-11-24 15:00:00,-0.4363753948477331,-0.3901565021190988
2017-11-24 15:10:00,-0.4457051925829536,-0.4026971811591712
2017-11-24 15:20:00,-0.4991394858210234,-0.41148285022871145
2017-11-24 15:30:00,-0.4847207086306276,-0.4844107782988256
2017-11-24 15:40:00,-0.4804798917288483,-0.43792253836560346
2017-11-24 15:50:00,-0.5356105128302423,-0.44894027492425914
2017-11-24 16:00:00,-0.5559664347857417,-0.5233374093279254
2017-11-24 16:10:00,-0.5313696959284635,-0.5364908347943521
2017-11-24 16:20:00,-0.5194954077765228,-0.49793374177543837
2017-11-24 16:30:00,-0.482176218213907,-0.4946491245396063
2017-11-24 16:40:00,-0.4312864140142924,-0.44456304559519044
2017-11-24 16:50:00,-0.3965117148683972,-0.4032739060699394
2017-11-24 17:00:00,-0.2735280219602717,-0.3810951830672551
2017-11-24 17:10:00,-0.0911728896707077,-0.24376945341151704
2017-11-24 17:20:00,0.3787096335212364,0.040200330001870954
2017-11-24 17:30:00,0.6645407006950879,0.7860203888282485
2017-11-24 17:40:00,0.7926133744366547,0.9661881849060355
2017-11-24 17:50:00,0.8027913347252721,0.9968675684825289
2017-11-24 18:00:00,0.8146656228772122,0.8333822030228605
2017-11-24 18:10:00,0.894392982835885,0.7635006068390146
2017-11-24 18:20:00,0.8876076755173851,0.8403682910439448
2017-11-24 18:30:00,0.8960893093209427,0.815934132543851
2017-11-24 18:40:00,0.8180582758473297,0.8207310263015096
2017-11-24 18:50:00,0.7697129620644357,0.7360695332383874
2017-11-24 19:00:00,0.7586868378441569,0.6844022967793868
2017-11-24 19:10:00,0.7917652105049933,0.6582081722525283
2017-11-24 19:20:00,0.8010950082402134,0.6914847466904984
2017-11-24 19:30:00,0.7408754063053781,0.6923975387603796
2017-11-24 19:40:00,0.6857447852039841,0.634501647519836
2017-11-24 19:50:00,0.667085191111809,0.5904968394461781
2017-11-24 20:00:00,0.6636925367634265,0.5690763850542169
2017-11-24 20:10:00,0.7154305048947031,0.559485556483435
2017-11-24 20:20:00,0.7264566291149819,0.605769494544346
2017-11-24 20:30:00,0.7077970336445417,0.6099896246989274
2017-11-24 20:40:00,0.6806558057488079,0.5975630667995602
2017-11-24 20:50:00,0.6111064060787526,0.5767149202881441
2017-11-24 21:00:00,0.5602166018791385,0.5137513621597626
2017-11-24 21:10:00,0.5491904776588596,0.46327102689764943
2017-11-24 21:20:00,0.5228974123165222,0.4455451183293311
2017-11-24 21:30:00,0.4567406669948494,0.4174735285909673
2017-11-24 21:40:00,0.384646778286339,0.359508145259252
2017-11-24 21:50:00,0.3286679932532836,0.2927249684590658
2017-11-24 22:00:00,0.2718410456668308,0.22768363004621744
2017-11-24 22:10:00,0.2201030775355533,0.16413722568224284
2017-11-24 22:20:00,0.1395275550234852,0.11032369852907778
2017-11-24 22:30:00,0.056407542094696,0.02654172049152692
2017-11-24 22:40:00,-0.0351941060159173,-0.05063660438696299
2017-11-24 22:50:00,-0.1259475901948684,-0.14656357651463262
2017-11-24 23:00:00,-0.2014341318734958,-0.23614976534039708
2017-11-24 23:10:00,-0.3083027211061668,-0.32109773645991524
2017-11-24 23:20:00,-0.4032970221868966,-0.4354630794545591
2017-11-24 23:30:00,-0.5254325525416259,-0.5118234862428123
2017-11-24 23:40:00,-0.6161860353423114,-0.6269567943595663
2017-11-24 23:50:00,-0.6899762519141456,-0.6921828649479463
2017-11-25 00:00:00,-0.7917558603133754,-0.7611181061077555
2017-11-25 00:10:00,-0.8672424033702688,-0.8414601058399359
2017-11-25 00:20:00,-0.9613885405193368,-0.893923296884234
2017-11-25 00:30:00,-1.0182154881057894,-1.008347058261922
2017-11-25 00:40:00,-1.080131416525683,-1.052025115740799
2017-11-25 00:50:00,-1.1378065280437977,-1.1183135382471387
2017-11-25 01:00:00,-1.18530367789503,-1.1716126031099898
2017-11-25 01:10:00,-1.2930204296810972,-1.2170507956380585
2017-11-25 01:20:00,-1.3337322735920951,-1.3405915772676114
2017-11-25 01:30:00,-1.3532400316159323,-1.3562378270070774
2017-11-25 01:40:00,-1.345606561744036,-1.3730397129390868
2017-11-25 01:50:00,-1.3498473786458154,-1.3516134524885453
2017-11-25 02:00:00,-1.40073718284543,-1.3576840629251794
2017-11-25 02:10:00,-1.449082496628325,-1.4108417591684248
2017-11-25 02:20:00,-1.448234332696663,-1.454904246042573
2017-11-25 02:30:00,-1.482160869289161,-1.45003642758827
2017-11-25 02:40:00,-1.4838571957742193,-1.48078713441683
2017-11-25 02:50:00,-1.4745273980389992,-1.4803203486453687
2017-11-25 03:00:00,-1.5008204633813362,-1.4727721347107363
