,Originales,Predichos
2017-11-25 01:30:00,-1.35324,-1.2908871
2017-11-25 01:40:00,-1.3456066,-1.3301795
2017-11-25 01:50:00,-1.3498474,-1.3286998
2017-11-25 02:00:00,-1.4007372,-1.337106
2017-11-25 02:10:00,-1.4490825,-1.3325293
2017-11-25 02:20:00,-1.4482343,-1.321246
2017-11-25 02:30:00,-1.4821609,-1.3543144
2017-11-25 02:40:00,-1.4838572,-1.3575174
2017-11-25 02:50:00,-1.4745274,-1.4179863
2017-11-25 03:00:00,-1.5008205,-1.5340419
2017-11-25 03:10:00,-1.5338988,-1.5434531
2017-11-25 03:20:00,-1.5322025,-1.5274711
2017-11-25 03:30:00,-1.5567993,-1.4160495
2017-11-25 03:40:00,-1.5542548,-1.4114466
2017-11-25 03:50:00,-1.5440768,-1.4170302
2017-11-25 04:00:00,-1.5517102,-1.3068774
2017-11-25 04:10:00,-1.5381397,-1.3363688
2017-11-25 04:20:00,-1.5567993,-1.3557639
2017-11-25 04:30:00,-1.5525584,-1.3508074
2017-11-25 04:40:00,-1.5483177,-1.3550513
2017-11-25 04:50:00,-1.5567993,-1.3496655
2017-11-25 05:00:00,-1.5542548,-1.3446606
2017-11-25 05:10:00,-1.5067576,-1.3397156
2017-11-25 05:20:00,-1.4660457,-1.3391571
2017-11-25 05:30:00,-1.3574809,-1.3318485
2017-11-25 05:40:00,-1.3676589,-1.3252449
2017-11-25 05:50:00,-1.3990408,-1.2866849
2017-11-25 06:00:00,-1.4380563,-1.2901292
2017-11-25 06:10:00,-1.4533234,-1.1741056
2017-11-25 06:20:00,-1.493187,-1.1804547
2017-11-25 06:30:00,-1.5746107,-1.2043356
2017-11-25 06:40:00,-1.6992908,-1.2462348
2017-11-25 06:50:00,-1.8451748,-1.247657
2017-11-25 07:00:00,-1.8129447,-1.2105594
2017-11-25 07:10:00,-1.7612066,-1.2019974
2017-11-25 07:20:00,-1.7230393,-1.1767607
2017-11-25 07:30:00,-1.7221911,-1.1924543
2017-11-25 07:40:00,-1.6874164,-1.1625646
2017-11-25 07:50:00,-1.674694,-1.1360183
2017-11-25 08:00:00,-1.571218,-1.1248113
2017-11-25 08:10:00,-1.4796164,-1.0660865
2017-11-25 08:20:00,-1.3422139,-1.0740541
2017-11-25 08:30:00,-1.2412825,-1.0266746
2017-11-25 08:40:00,-1.218382,-1.0653311
2017-11-25 08:50:00,-1.1395029,-1.1399635
2017-11-25 09:00:00,-1.0614718,-1.0334662
2017-11-25 09:10:00,-1.0046449,-0.9673888
2017-11-25 09:20:00,-0.9384881,-1.0058892
2017-11-25 09:30:00,-0.8570644,-1.0140948
2017-11-25 09:40:00,-0.7493477,-1.0344347
2017-11-25 09:50:00,-0.6908244,-0.9984925
2017-11-25 10:00:00,-0.65011257,-0.96164
2017-11-25 10:10:00,-0.61533785,-0.95237035
2017-11-25 10:20:00,-0.56020725,-0.84552646
2017-11-25 10:30:00,-0.5084693,-0.7706032
2017-11-25 10:40:00,-0.4736946,-0.8068429
2017-11-25 10:50:00,-0.48641703,-0.76933074
2017-11-25 11:00:00,-0.42619744,-0.8219223
2017-11-25 11:10:00,-0.3625852,-1.0623499
2017-11-25 11:20:00,-0.3693705,-1.099189
2017-11-25 11:30:00,-0.3456219,-1.1058824
2017-11-25 11:40:00,-0.2811615,-1.1132979
2017-11-25 11:50:00,-0.31763253,-1.092158
2017-11-25 12:00:00,-0.3227215,-1.0893928
2017-11-25 12:10:00,-0.34307742,-1.0652552
2017-11-25 12:20:00,-0.34477374,-0.89614445
2017-11-25 12:30:00,-0.3320513,-0.85094494
2017-11-25 12:40:00,-0.33629212,-0.5544786
2017-11-25 12:50:00,-0.32865864,-0.50034463
2017-11-25 13:00:00,-0.27013537,-0.15106994
2017-11-25 13:10:00,-0.28709865,-0.14052628
2017-11-25 13:20:00,-0.2574129,-0.1513451
2017-11-25 13:30:00,-0.22857536,-0.15468884
2017-11-25 13:40:00,-0.22857536,-0.18453263
2017-11-25 13:50:00,-0.27946517,-0.19332603
2017-11-25 14:00:00,-0.2506276,-0.18087292
2017-11-25 14:10:00,-0.24214597,-0.16925971
2017-11-25 14:20:00,-0.23960148,-0.1796794
2017-11-25 14:30:00,-0.24129781,-0.16085416
2017-11-25 14:40:00,-0.29049128,-0.19077201
2017-11-25 14:50:00,-0.35410354,-0.13228935
2017-11-25 15:00:00,-0.41262683,-0.12863803
2017-11-25 15:10:00,-0.366826,-0.06781339
2017-11-25 15:20:00,-0.3736113,-0.09178163
2017-11-25 15:30:00,-0.44231254,-0.086943276
2017-11-25 15:40:00,-0.4177158,-0.07784262
2017-11-25 15:50:00,-0.40244886,-0.024282513
2017-11-25 16:00:00,-0.4431607,-0.007385861
2017-11-25 16:10:00,-0.5127101,0.0077729616
2017-11-25 16:20:00,-0.46351662,0.007146379
2017-11-25 16:30:00,-0.38633376,0.023073161
2017-11-25 16:40:00,-0.2811615,-0.039688587
2017-11-25 16:50:00,-0.23960148,-0.19378619
2017-11-25 17:00:00,-0.20397863,-0.15265313
2017-11-25 17:10:00,-0.013141857,-0.109651364
2017-11-25 17:20:00,0.37616515,-0.110239364
2017-11-25 17:30:00,0.64418477,-0.083796136
2017-11-25 17:40:00,0.7154305,0.050354034
2017-11-25 17:50:00,0.72136766,0.2031012
2017-11-25 18:00:00,0.72306395,0.23085001
2017-11-25 18:10:00,0.7663203,0.24527453
2017-11-25 18:20:00,0.7366346,0.24079394
2017-11-25 18:30:00,0.7374827,0.31232926
2017-11-25 18:40:00,0.7196713,0.352718
2017-11-25 18:50:00,0.7205195,0.4620689
2017-11-25 19:00:00,0.72815293,0.65936387
2017-11-25 19:10:00,0.72645664,0.8017268
2017-11-25 19:20:00,0.71288604,0.8574808
2017-11-25 19:30:00,0.7061007,0.9344575
2017-11-25 19:40:00,0.6653889,0.9782449
2017-11-25 19:50:00,0.65351456,0.95107317
2017-11-25 20:00:00,0.64079213,0.89604837
2017-11-25 20:10:00,0.63061416,0.8941658
2017-11-25 20:20:00,0.6111064,0.83146095
2017-11-25 20:30:00,0.6043211,0.4379836
2017-11-25 20:40:00,0.5746354,0.39225924
2017-11-25 20:50:00,0.51696026,0.4066179
2017-11-25 21:00:00,0.4838819,0.37289658
2017-11-25 21:10:00,0.46691862,0.1189015
2017-11-25 21:20:00,0.42451045,0.21018393
2017-11-25 21:30:00,0.39312842,0.20017613
2017-11-25 21:40:00,0.30237493,0.1760281
2017-11-25 21:50:00,0.29304513,0.1459069
2017-11-25 22:00:00,0.28371534,0.14315392
2017-11-25 22:10:00,0.22264756,0.14214073
2017-11-25 22:20:00,0.16666879,0.15201652
2017-11-25 22:30:00,0.085245095,0.19170502
2017-11-25 22:40:00,0.05640754,0.049310945
2017-11-25 22:50:00,-0.05894268,-0.1471151
2017-11-25 23:00:00,-0.15308882,-0.45515144
2017-11-25 23:10:00,-0.2599574,-0.9850886
2017-11-25 23:20:00,-0.34053293,-1.2147143
2017-11-25 23:30:00,-0.48896152,-1.2681353
2017-11-25 23:40:00,-0.56868887,-1.3135606
2017-11-25 23:50:00,-0.65011257,-1.3217582
2017-11-26 00:00:00,-0.74171424,-1.3206615
2017-11-26 00:10:00,-0.8570644,-1.3013597
2017-11-26 00:20:00,-0.94103265,-1.2871459
2017-11-26 00:30:00,-1.0368751,-1.2607464
2017-11-26 00:40:00,-1.0580791,-1.243838
2017-11-26 00:50:00,-1.1182988,-1.2397585
2017-11-26 01:00:00,-1.1411992,-1.2531112
2017-11-26 01:10:00,-1.181911,-1.21117
2017-11-26 01:20:00,-1.1793666,-1.1990021
2017-11-26 01:30:00,-1.2277118,-1.2044924
2017-11-26 01:40:00,-1.3091356,-1.225464
2017-11-26 01:50:00,-1.3625698,-1.2302101
2017-11-26 02:00:00,-1.389711,-1.2016515
2017-11-26 02:10:00,-1.4075224,-1.1679116
2017-11-26 02:20:00,-1.4389045,-1.1640073
2017-11-26 02:30:00,-1.4643494,-1.0193167
2017-11-26 02:40:00,-1.4592605,-1.1185801
2017-11-26 02:50:00,-1.4677421,-1.0089118
2017-11-26 03:00:00,-1.4745274,-1.2265403
2017-11-26 03:10:00,-1.4736792,-1.3389809
2017-11-26 03:20:00,-1.4991242,-1.5482812
2017-11-26 03:30:00,-1.5042131,-1.4746288
2017-11-26 03:40:00,-1.5126947,-1.3875986
2017-11-26 03:50:00,-1.5517102,-1.3763766
2017-11-26 04:00:00,-1.5559511,-1.1961932
2017-11-26 04:10:00,-1.5500139,-1.3120213
2017-11-26 04:20:00,-1.5491657,-1.3489429
2017-11-26 04:30:00,-1.5457731,-1.3477952
2017-11-26 04:40:00,-1.5542548,-1.3385735
2017-11-26 04:50:00,-1.5593437,-1.3291459
2017-11-26 05:00:00,-1.5355952,-1.3333637
2017-11-26 05:10:00,-1.5177838,-1.3194376
2017-11-26 05:20:00,-1.5186319,-1.3227
