,Originales,Predichos
2014-12-01 22:40:00,0.7894844,0.8556096
2014-12-01 22:50:00,0.5590688,0.8561156
2014-12-01 23:00:00,0.6139296,0.9928768
2014-12-01 23:10:00,0.7455957,0.99334234
2014-12-01 23:20:00,0.7894844,0.8133712
2014-12-01 23:30:00,0.8114287,0.8298584
2014-12-01 23:40:00,0.7565679,0.8311919
2014-12-01 23:50:00,0.635874,0.84986854
2014-12-02 00:00:00,0.57004094,0.7974105
2014-12-02 00:10:00,0.53712445,0.77303344
2014-12-02 00:20:00,0.52615225,0.7978135
2014-12-02 00:30:00,0.2737923,0.67483395
2014-12-02 00:40:00,0.13115406,0.6285461
2014-12-02 00:50:00,0.054348845,0.93235487
2014-12-02 01:00:00,0.1530984,0.98648745
2014-12-02 01:10:00,-0.044400707,0.986703
2014-12-02 01:20:00,-0.21995547,-0.05636213
2014-12-02 01:30:00,-0.31870502,-0.07658393
2014-12-02 01:40:00,-0.3625937,-0.017356947
2014-12-02 01:50:00,-0.2857885,-0.099252515
2014-12-02 02:00:00,-0.3296772,-0.0937216
2014-12-02 02:10:00,-0.252872,-0.09808891
2014-12-02 02:20:00,-0.252872,0.073511645
2014-12-02 02:30:00,-0.09926157,0.05390607
2014-12-02 02:40:00,0.07629319,-0.09487969
2014-12-02 02:50:00,0.62490183,-0.05409431
2014-12-02 03:00:00,0.9211505,-0.00876871
2014-12-02 03:10:00,0.8992061,-0.08287479
2014-12-02 03:20:00,1.1735104,0.75701624
2014-12-02 03:30:00,1.458787,0.24430472
2014-12-02 03:40:00,1.2283713,1.051346
2014-12-02 03:50:00,1.1954548,0.33558163
2014-12-02 04:00:00,1.5026757,0.27896965
2014-12-02 04:10:00,1.6672583,-0.055225335
2014-12-02 04:20:00,1.458787,0.16123277
2014-12-02 04:30:00,1.5355921,0.36191136
2014-12-02 04:40:00,1.2942044,0.24412668
2014-12-02 04:50:00,1.2832322,0.21157807
2014-12-02 05:00:00,1.0528165,0.17922345
2014-12-02 05:10:00,0.87726176,-0.0226736
2014-12-02 05:20:00,0.62490183,-0.22489987
2014-12-02 05:30:00,0.58101314,-0.27242988
2014-12-02 05:40:00,0.58101314,-0.17483774
2014-12-02 05:50:00,0.5480966,-0.09376557
2014-12-02 06:00:00,0.635874,-0.10664301
2014-12-02 06:10:00,0.7455957,-0.19963285
2014-12-02 06:20:00,0.73462355,-0.23536155
2014-12-02 06:30:00,0.9211505,0.11255007
2014-12-02 06:40:00,1.0308722,-0.18780054
2014-12-02 06:50:00,0.88823396,-0.04001129
2014-12-02 07:00:00,0.58101314,0.2540946
2014-12-02 07:10:00,0.4274027,0.61980253
2014-12-02 07:20:00,0.36156967,0.7976374
2014-12-02 07:30:00,0.32865316,0.86864
2014-12-02 07:40:00,0.17504275,1.1713597
2014-12-02 07:50:00,0.1530984,1.3774327
2014-12-02 08:00:00,-0.011484189,0.87614
2014-12-02 08:10:00,-0.06634505,0.82078767
2014-12-02 08:20:00,-0.17606677,0.80961233
2014-12-02 08:30:00,-0.21995547,0.8566033
2014-12-02 08:40:00,-0.21995547,0.81213856
2014-12-02 08:50:00,-0.13217808,0.781873
2014-12-02 09:00:00,0.0324045,0.7696783
2014-12-02 09:10:00,0.3505975,0.5811625
2014-12-02 09:20:00,0.5590688,0.48768574
2014-12-02 09:30:00,0.7126792,-0.23509291
2014-12-02 09:40:00,0.8992061,0.5809416
2014-12-02 09:50:00,0.9979557,-0.23667684
2014-12-02 10:00:00,1.0199001,-0.23661736
2014-12-02 10:10:00,1.0089278,-0.23615626
2014-12-02 10:20:00,0.97601134,-0.23579891
2014-12-02 10:30:00,0.9650392,-0.23526686
2014-12-02 10:40:00,1.3490652,-0.23439124
2014-12-02 10:50:00,1.5246199,-0.19751354
2014-12-02 11:00:00,1.4807312,-0.19758639
2014-12-02 11:10:00,1.0528165,-0.19776252
2014-12-02 11:20:00,0.87726176,-0.10594953
2014-12-02 11:30:00,1.0089278,0.008470313
2014-12-02 11:40:00,0.954067,0.046906702
2014-12-02 11:50:00,0.701707,0.19482231
2014-12-02 12:00:00,0.6139296,0.07981297
2014-12-02 12:10:00,0.69073486,0.04668612
2014-12-02 12:20:00,0.48226357,-0.23691142
2014-12-02 12:30:00,0.40545836,-0.10145108
2014-12-02 12:40:00,0.33962533,-0.14114848
2014-12-02 12:50:00,0.16407058,-0.17763022
2014-12-02 13:00:00,-0.35162154,0.13162959
2014-12-02 13:10:00,-0.8124528,0.20070274
2014-12-02 13:20:00,-0.9221745,0.14193754
2014-12-02 13:30:00,-0.93314666,0.035896227
2014-12-02 13:40:00,-0.98800755,-0.06357393
2014-12-02 13:50:00,-0.955091,0.22253874
2014-12-02 14:00:00,-0.97703534,0.2787117
2014-12-02 14:10:00,-1.009952,0.264895
2014-12-02 14:20:00,-0.98800755,-0.038114786
2014-12-02 14:30:00,-0.9221745,0.007204124
2014-12-02 14:40:00,-0.5600928,0.7716625
2014-12-02 14:50:00,-0.6039815,0.73988795
2014-12-02 15:00:00,-0.63689804,0.58311695
2014-12-02 15:10:00,-0.49425977,0.61257315
2014-12-02 15:20:00,-0.5162041,0.7363496
2014-12-02 15:30:00,-0.1650946,0.6144006
2014-12-02 15:40:00,-0.6917589,0.54236597
2014-12-02 15:50:00,-0.88925797,0.8250261
2014-12-02 16:00:00,-0.8673136,-0.0008702865
2014-12-02 16:10:00,-0.9221745,-0.1603408
2014-12-02 16:20:00,-0.9112023,-0.23390687
2014-12-02 16:30:00,-0.9112023,-0.20646912
2014-12-02 16:40:00,-0.9221745,-0.23765747
2014-12-02 16:50:00,-0.97703534,-0.37106106
2014-12-02 17:00:00,-0.97703534,-0.3660072
2014-12-02 17:10:00,-0.94411886,-0.3488272
2014-12-02 17:20:00,-0.9989797,-0.36360765
2014-12-02 17:30:00,-1.009952,-0.38213378
2014-12-02 17:40:00,-0.98800755,-0.37521055
2014-12-02 17:50:00,-0.94411886,-0.37511435
2014-12-02 18:00:00,-0.94411886,-0.38172942
2014-12-02 18:10:00,-0.8563415,-0.33307967
2014-12-02 18:20:00,-0.74661976,-0.26649264
2014-12-02 18:30:00,-0.7027311,-0.39693618
2014-12-02 18:40:00,-0.77953625,-0.26555198
2014-12-02 18:50:00,-0.7575919,-0.26533282
2014-12-02 19:00:00,-0.7137032,-0.26529378
2014-12-02 19:10:00,-0.7246754,-0.3962
2014-12-02 19:20:00,-0.79050845,-0.07142804
2014-12-02 19:30:00,-0.5271763,0.030250438
2014-12-02 19:40:00,-0.3296772,-0.28414306
2014-12-02 19:50:00,-0.5271763,-0.2421219
